player_name,player_key,school,school_key,position_raw,position,year,ras_score,source_url
Terrence Flagler,terrence flagler,Clemson,clemson,RB,RB,1987,7.83,https://ras.football/ras-information/?PlayerID=340
Tim Manoa,tim manoa,Penn State,penn state,FB,RB,1987,4.0,https://ras.football/ras-information/?PlayerID=349
Tom Brown,tom brown,Pittsburgh,pittsburgh,RB,RB,1987,3.91,https://ras.football/ras-information/?PlayerID=359
Tony Burse,tony burse,Middle Tennessee State,middle tennessee state,RB,RB,1987,3.04,https://ras.football/ras-information/?PlayerID=366
Tracy Ham,tracy ham,Georgia Southern,georgia southern,RB,RB,1987,0.87,https://ras.football/ras-information/?PlayerID=371
Troy Stradford,troy stradford,Boston College,boston college,RB,RB,1987,4.35,https://ras.football/ras-information/?PlayerID=373
Warren Marshall,warren marshall,James Madison,james madison,FB,RB,1987,3.0,https://ras.football/ras-information/?PlayerID=382
Bruce Plummer,bruce plummer,Mississippi State,mississippi state,SS,S,1987,10.0,https://ras.football/ras-information/?PlayerID=35
Charles Glaze,charles glaze,South Carolina State,south carolina state,SS,S,1987,5.0,https://ras.football/ras-information/?PlayerID=44
Darryl Holmes,darryl holmes,Fort Valley State,fort valley state,SS,S,1987,3.33,https://ras.football/ras-information/?PlayerID=79
Gene Atkins,gene atkins,Florida A&M,florida a&m,FS,S,1987,10.0,https://ras.football/ras-information/?PlayerID=122
John Little,john little,Georgia,georgia,FS,S,1987,5.0,https://ras.football/ras-information/?PlayerID=181
Leonard Bell,leonard bell,Indiana,indiana,SS,S,1987,6.67,https://ras.football/ras-information/?PlayerID=214
Leonard Jones,leonard jones,Texas Tech,texas tech,FS,S,1987,3.75,https://ras.football/ras-information/?PlayerID=215
Nelson Jones,nelson jones,North Carolina State,north carolina state,FS,S,1987,2.5,https://ras.football/ras-information/?PlayerID=254
Sonny Gordon,sonny gordon,Ohio State,ohio state,FS,S,1987,6.25,https://ras.football/ras-information/?PlayerID=319
Thomas Everett,thomas everett,Baylor,baylor,FS,S,1987,7.5,https://ras.football/ras-information/?PlayerID=342
Tim Mcdonald,tim mcdonald,Southern California,southern california,SS,S,1987,8.33,https://ras.football/ras-information/?PlayerID=350
Tim Peoples,tim peoples,Washington,washington,FS,S,1987,8.75,https://ras.football/ras-information/?PlayerID=351
