pff_rank,player_name,position,school,pff_grade,pff_waa,analysis,player_id,match_type,matched_team_name
197,Zane Durant,DT,Penn State,63.9,,,164166,exact,penn state
198,Cole Wisniewski,S,Texas Tech,83.9,,,125313,exact,texas tech
199,Chase Roberts,WR,BYU,74.5,,,147528,exact,byu
200,Bishop Fitzgerald,S,USC,90.7,,,176010,exact,usc
201,Cole Brevard,DT,Texas,72.6,,,129766,exact,texas
202,VJ Payne,S,Kansas State,73.3,,,157780,exact,kansas state
203,Red Murdock,LB,Buffalo,91.2,,,157948,exact,buffalo
204,Dae'Quan Wright,TE,Mississippi,66.4,,,157645,exact,ole miss
205,George Gumbs Jr.,EDGE,Florida,66.0,,,145870,exact,florida
206,Zavion Thomas,WR,LSU,66.2,,,163697,exact,lsu
207,Oscar Delp,TE,Georgia,63.2,,,157080,exact,georgia
208,Eli Heidenreich,RB,Navy,92.9,,,162554,exact,navy
209,Kendrick Law,WR,Kentucky,71.6,,,157004,exact,kentucky
210,Desmond Reid,RB,Pittsburgh,80.1,,,159936,exact,pittsburgh
211,Isaiah Nwokobia,S,SMU,67.4,,,144373,exact,smu
212,TJ Hall,CB,Iowa,78.3,,,156441,exact,iowa
213,Zxavian Harris,DT,Mississippi,73.3,,,163658,exact,ole miss
214,Robert Spears-Jennings,S,Oklahoma,58.9,,,158074,exact,oklahoma
215,Jadon Canady,CB,Oregon,85.5,,,144405,exact,oregon
216,Dane Key,WR,Nebraska,65.9,,,157100,exact,nebraska
217,Andre Fuller,CB,Toledo,82.6,,,141775,exact,toledo
218,Parker Brailsford,IOL,Alabama,65.6,,,162482,exact,alabama
219,Domani Jackson,CB,Alabama,73.4,,,71370,exact,alabama
220,Robert Henry Jr.,RB,UTSA,74.2,,,174094,exact,utsa
221,Colbie Young,WR,Georgia,76.3,,,162739,exact,georgia
222,TJ Guy,EDGE,Michigan,64.3,,,144938,exact,michigan
223,Roman Hemby,RB,Indiana,80.9,,,144891,exact,indiana
224,Noah Thomas,WR,Georgia,57.9,,,158678,exact,georgia
225,Max Bredeson,TE,Michigan,76.2,,,144930,exact,michigan
226,J. Michael Sturdivant,WR,Florida,62.7,,,146288,exact,florida
