player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Adam Mohammed,183644,HB,WASHINGTON,13,0,340,45.3,0,3,26,27.4,26.8,90.4,0,4,1,26,97,53.2,0,2,14,35.9,35.0,92.9,2,0,14,40
Mitchell Evans,147486,TE,NOTRE DAME,16,0,258,63.5,0,1,24,7.4,7.6,97.9,1,1,0,26,344,74.7,0,0,6,4.3,4.5,100.0,0,0,7,154
Jack Pedersen,162462,TE,UCLA,12,1,324,40.6,1,2,26,22.6,21.7,94.2,1,3,0,26,120,16.3,1,0,1,2.9,2.7,50.0,1,0,1,37
Xavier Brown,156371,HB,VIRGINIA,11,0,335,39.9,1,1,25,20.5,20.3,96.0,0,2,0,26,128,63.4,0,1,13,26.0,25.9,96.2,1,0,14,54
Brett Norfleet,175909,TE,MISSOURI,11,0,229,27.3,0,3,25,12.3,12.3,94.0,0,3,0,26,211,69.3,0,0,2,3.6,3.5,100.0,0,0,2,57
Seydou Traore,147046,TE,MISS STATE,12,0,227,63.1,0,0,24,7.3,7.4,95.8,2,1,1,26,349,72.0,0,0,2,2.1,2.0,100.0,0,0,2,99
Joseph Borjon,158713,T,S DIEGO ST,1,0,284,86.6,0,0,22,100.0,100.0,100.0,0,0,0,26,26,84.7,0,0,9,100.0,100.0,100.0,0,0,12,12
Yasin Willis,183381,HB,SYRACUSE,10,0,304,68.4,0,0,25,32.1,32.5,100.0,1,0,0,26,80,79.4,0,0,6,30.0,30.0,100.0,0,0,6,20
Jarian Shelby,164127,T,OHIO,2,1,259,40.0,1,2,19,100.0,100.0,92.1,2,3,0,26,26,38.4,1,1,13,100.0,100.0,92.3,2,0,16,16
RJ Whitehead,188328,T,UTEP,2,0,330,71.6,1,0,23,100.0,100.0,93.5,0,2,1,25,25,58.0,1,0,6,100.0,100.0,75.0,2,1,6,6
Brandon Young Jr.,183483,TE,N TEXAS,7,0,251,56.5,0,2,22,31.9,32.9,95.5,1,2,0,25,76,38.0,0,2,4,44.4,36.4,75.0,2,0,4,11
Brett Canis,144755,T,LA TECH,9,0,208,49.4,1,1,25,100.0,100.0,92.0,0,3,1,25,25,22.5,0,1,6,100.0,100.0,75.0,2,1,6,6
