player_name,school,position,season,qb_ppa_overall,qb_ppa_passing,qb_ppa_standard_downs,qb_ppa_passing_downs,qb_wepa_passing,qb_usage_rate
Jake Merklinger,Tennessee,QB,2025,0.356,0.267,0.29,0.523,,0.0549
Mabrey Mettauer,Sam Houston,QB,2025,-0.064,-0.137,0.09,-0.196,,0.1572
Ju'Juan Johnson,LSU,QB,2025,-0.003,-0.002,0.134,-0.446,,0.0023
Luke Kromenhoek,Mississippi State,QB,2025,0.225,0.069,0.218,0.232,,0.0231
Air Noland,South Carolina,QB,2025,0.074,0.108,-0.032,0.391,,0.0088
D.J. Lagway,Florida,QB,2025,0.131,0.126,0.109,0.168,,0.9059
Dylan Raiola,Nebraska,QB,2025,0.277,0.266,0.135,0.608,,0.6614
Isaiah Marshall,Kansas,QB,2025,0.444,0.984,0.465,0.039,,0.0087
Riley Trujillo,Delaware,QB,2025,-0.482,,-0.653,0.028,,0.0
Kalieb Osborne,Toledo,QB,2025,0.242,0.108,0.235,0.257,,0.131
Michael Van Buren Jr.,LSU,QB,2025,-0.132,-0.245,-0.382,0.241,,0.3409
John White,Southern Miss,QB,2025,-1.053,-1.053,-1.053,,,0.0022
Demond Williams Jr.,Washington,QB,2025,0.332,0.315,0.259,0.466,,0.9568
Ryan Puglisi,Georgia,QB,2025,0.117,0.08,0.09,0.158,,0.0647
Dante Reno,Yale,QB,2025,0.193,0.283,0.074,0.362,,0.9785
Julian Sayin,Ohio State,QB,2025,0.482,0.52,0.414,0.633,,0.9583
AJ Surace,Rutgers,QB,2025,0.592,0.592,-0.633,1.612,,0.0238
Asher Weiner,Princeton,QB,2025,0.18,-0.513,0.389,-0.445,,0.0031
Jaylen Raynor,Arkansas State,QB,2025,0.158,0.173,0.11,0.239,,0.9881
Brett Brown,Missouri,QB,2025,-1.316,-2.72,0.089,-2.72,,0.0028
John Griffith,Morgan State,QB,2025,-0.59,-0.631,-0.382,-0.849,,0.0543
AJ Swann,App State,QB,2025,0.055,0.094,-0.08,0.234,,0.437
Trent Pearman,Clemson,QB,2025,-0.566,0.343,-2.143,0.616,,0.0105
Blake Horvath,Navy,QB,2025,0.382,0.528,0.285,0.59,,0.8736
Nate Glantz,Lindenwood,QB,2025,0.324,0.368,0.285,0.369,,0.9912
Tyriq Starks,Howard,QB,2025,0.081,0.024,-0.005,0.17,,0.9203
Dewayne Coleman,Army,QB,2025,0.153,0.26,0.022,0.321,,0.288
John Alan Richter,Toledo,QB,2025,0.598,0.632,0.558,0.7,,0.063
Blake Kendall,James Madison,QB,2025,-0.081,,-0.081,,,0.0
Colton Allen,Colorado,QB,2025,-0.079,-0.079,,-0.079,,0.0028
Aidan Semo,UAlbany,QB,2025,0.57,0.605,0.71,-0.045,,0.0234
Tommy Ulatowski,Kennesaw State,QB,2025,-0.243,-0.244,-0.438,0.147,,0.0118
Skyler Locklear,UTEP,QB,2025,0.021,-0.107,-0.053,0.134,,0.5146
Bo Kelly,Cal Poly,QB,2025,0.144,0.126,0.094,0.201,,0.2797
Jack Layne,New Mexico,QB,2025,0.252,0.232,0.132,0.425,,0.9343
Tanner Maddocks,Villanova,QB,2025,0.729,0.784,0.695,0.781,,0.0359
Davi Belfort,UCF,QB,2025,0.57,0.636,0.448,0.795,,0.0149
Ashten Snelsire,Richmond,QB,2025,0.15,0.186,0.053,0.292,,0.3437
James McCauley,Columbia,QB,2025,-0.204,-0.204,-0.953,0.171,,0.0277
Ayden Pereira,Merrimack,QB,2025,0.133,0.063,-0.037,0.326,,0.9226
Jaden Craig,Harvard,QB,2025,0.342,0.359,0.214,0.57,,0.943
Patrick Heitert,Southeast Missouri State,QB,2025,-0.051,-0.361,-0.056,-0.044,,0.0277
Dean DeNobile,Lafayette,QB,2025,0.249,0.249,0.125,0.476,,0.9693
Collin Shannon,VMI,QB,2025,0.276,0.295,0.084,0.503,,0.7302
Kevin Jennings,SMU,QB,2025,0.331,0.376,0.272,0.417,,0.987
Charlie Fiser,SMU,QB,2025,0.474,0.482,0.474,,,0.0087
Diego Pavia,Vanderbilt,QB,2025,0.483,0.517,0.34,0.802,,0.945
AJ Maddox,Ole Miss,QB,2025,0.334,0.355,0.355,0.313,,0.0019
Colin Parachek,UAlbany,QB,2025,0.067,-0.019,-0.291,0.44,,0.1849
Bryce Patterson,Morehead State,QB,2025,0.198,0.24,0.163,0.241,,0.2423
Liam O'Brien,Pennsylvania,QB,2025,0.365,0.355,0.23,0.63,,0.9905
Angel H Flores,Central Michigan,QB,2025,0.247,-0.053,0.222,0.291,,0.1111
Mark Konecny,Western Michigan,QB,2025,-0.549,-0.292,-0.549,,,0.0033
Keegan Patterson,Indiana State,QB,2025,0.17,0.168,0.074,0.278,,0.6911
Ashton Frye,Grambling,QB,2025,-0.197,0.127,-0.522,0.054,,0.1171
Keyone Jenkins,Florida International,QB,2025,0.131,0.123,0.074,0.215,,0.6145
Austin Myers,Central Arkansas,QB,2025,0.135,0.192,0.071,0.24,,0.6028
Logan Gonzalez,Idaho State,QB,2025,-0.477,-0.656,-0.477,,,1.0
Brooks Ferguson,Portland State,QB,2025,1.092,1.092,1.178,0.92,,0.0072
Coulter Cleland,Davidson,QB,2025,0.15,0.168,0.042,0.288,,0.8911
Xavier Washington,Drake,QB,2025,0.888,0.768,1.256,-0.092,,0.0385
Matthew Schecklman,Northern Iowa,QB,2025,0.198,0.157,0.205,0.189,,0.6513
Chase Mason,South Dakota State,QB,2025,0.352,0.37,0.279,0.467,,0.5545
Carson Jones,Furman,QB,2025,0.077,0.077,-0.636,0.382,,0.0232
Zach Osborne,Colgate,QB,2025,0.366,0.424,0.33,0.438,,0.2658
Danny Lauter,Georgetown,QB,2025,0.387,0.396,0.144,0.667,,0.2436
DJ Ralph,Chadron St,QB,2025,0.118,0.024,0.372,-0.241,,1.0
Noah Sanders,North Carolina A&T,QB,2025,-0.014,0.041,0.116,-0.088,,0.0777
Reagan Andrew,Butler,QB,2025,0.235,0.215,0.131,0.475,,0.7063
Nathan Hayes,North Dakota State,QB,2025,0.491,0.488,0.093,0.843,,0.163
Ja'Shawn Scroggins,Howard,QB,2025,-0.092,-0.177,0.33,-0.485,,0.0598
Brandon Jorgensen,Southern Connecticut State,QB,2025,0.243,-0.998,-0.998,0.656,,1.0
Ty Englehart,Presbyterian,QB,2025,0.002,-0.184,0.195,-0.342,,0.1228
Nick Whitfield Jr.,St. Francis (PA),QB,2025,0.08,0.097,0.005,0.199,,0.8248
Adrian Mejia,St. Francis (PA),QB,2025,0.009,0.058,0.207,-0.26,,0.0363
Reggie Graff,Utah Tech,QB,2025,0.151,0.144,0.111,0.214,,0.2786
Sonny Mannino,Marist,QB,2025,0.062,,-0.15,0.319,,0.7618
Amari Powell,St. Thomas (MN),QB,2025,0.39,0.508,0.596,0.071,,0.185
Marshall Howe,Yale,QB,2025,0.041,-0.199,-0.891,0.974,,0.0215
Jake Stearney,Colgate,QB,2025,0.152,0.183,0.106,0.23,,0.6847
Hank Brown,Iowa,QB,2025,0.03,0.135,-0.336,0.275,,0.0734
Samaj Jones,Cincinnati,QB,2025,0.397,0.738,0.555,0.239,,0.0193
Rowan Keefe,Valparaiso,QB,2025,0.112,0.132,-0.039,0.401,,0.7222
Cole Gonzales,Pittsburgh,QB,2025,0.158,0.175,-0.175,0.518,,0.0474
Aidan Leffler,Ball State,QB,2025,-0.514,-0.514,-0.514,,,0.0036
Jaxon Potter,Washington State,QB,2025,0.239,0.245,0.313,0.099,,0.2334
Ty Dieffenbach,Cal Poly,QB,2025,0.357,0.355,0.382,0.32,,0.401
Raeden Oliver,Morgan State,QB,2025,0.338,0.338,0.533,-0.052,,0.0072
Brock Hansel,UCF,QB,2025,-0.184,-0.184,-0.213,-0.124,,0.0074
JD Sherrod,Southeast Missouri State,QB,2025,-0.971,-0.747,-1.194,-0.747,,0.0021
Noah Walters,Oklahoma State,QB,2025,1.231,2.107,1.171,1.32,,0.0384
Cade Carruth,Alabama,QB,2025,0.224,,0.224,,,0.0
Eric Rodriguez,East Texas A&M,QB,2025,0.172,0.145,0.079,0.336,,0.4952
Zach Tanner,Robert Morris,QB,2025,0.109,0.145,-0.135,0.315,,0.5407
Andre Washington,Alcorn State,QB,2025,0.067,-0.562,0.204,-0.115,,0.0269
Ethan Greenwood,Long Island University,QB,2025,0.128,0.092,-0.008,0.33,,0.4444
Isaiah Freeman,Hampton,QB,2025,0.153,-0.057,0.252,0.037,,0.2376
Micah Alejado,Hawai'i,QB,2025,0.277,0.303,0.107,0.541,,0.7963
Ashley Tucker Jr.,Alabama A&M,QB,2025,0.318,,0.318,,,0.0103
Earl Woods,Hampton,QB,2025,0.259,0.194,0.241,0.286,,0.1702
Ryan Browne,Purdue,QB,2025,0.226,0.185,0.071,0.447,,0.8366
Jackson Gilkey,Weber State,QB,2025,0.078,0.054,-0.053,0.27,,0.3372
Conner Kenyon,Rhode Island,QB,2025,0.345,0.38,0.245,0.488,,0.0848
Devon Dampier,Utah,QB,2025,0.321,0.27,0.166,0.59,,0.9003
Jack O'Connell,Stonehill,QB,2025,0.13,0.133,-0.024,0.286,,0.9814
Beau Brungard,Youngstown State,QB,2025,0.333,0.343,0.245,0.512,,0.9734
Cole Lacrue,Eastern Illinois,QB,2025,0.188,0.006,-0.085,0.659,,0.4901
Dru Deshields,Kent State,QB,2025,0.247,0.262,0.303,0.18,,0.8219
Caleb Mccreary,Tennessee State,QB,2025,-0.335,,0.198,-0.869,,0.0291
Jeremy Hecklinski,Iowa,QB,2025,-0.147,-0.147,,-0.147,,0.007
Darian Mensah,Duke,QB,2025,0.343,0.346,0.26,0.474,,0.9881
Blaze Berlowitz,Vanderbilt,QB,2025,0.564,0.292,0.586,0.535,,0.0425
Aidan Armenta,UL Monroe,QB,2025,0.127,0.143,0.147,0.107,,0.8344
Caden Creel,Jacksonville State,QB,2025,0.206,0.143,0.139,0.327,,0.6433
Darius Curry,Colorado State,QB,2025,0.093,0.161,-0.087,0.304,,0.2723
Luke Moga,Oregon,QB,2025,0.867,0.359,0.653,0.995,,0.0115
Blake Barnett,Kansas State,QB,2025,0.04,,0.117,-0.424,,0.0
Carson Cruver,Florida Atlantic,QB,2025,-0.876,-0.876,,-0.876,,0.0034
Colton Joseph,Old Dominion,QB,2025,0.41,0.444,0.246,0.758,,0.8727
PJ Hatter,Georgia State,QB,2025,1.009,,1.009,,,0.0
Deuce Adams,Louisville,QB,2025,-0.105,-0.033,-0.181,0.053,,0.0507
Braden Graham,Holy Cross,QB,2025,-0.024,-0.017,-0.293,0.269,,0.2215
Will Hammond,Texas Tech,QB,2025,0.387,0.28,0.459,0.289,,0.2231
Trever Jackson,Arkansas,QB,2025,-0.223,-0.223,,-0.223,,0.0026
Daniel Kaelin,Virginia,QB,2025,0.096,0.02,-0.042,0.424,,0.1057
JacQai Long,Marshall,QB,2025,-0.301,-0.372,-0.162,-0.423,,0.0537
Whit Muschamp,Vanderbilt,QB,2025,1.035,1.035,-0.33,3.764,,0.0075
Danny O'Neil,Wisconsin,QB,2025,0.115,0.05,0.111,0.123,,0.3309
Clayton Dees,Florida International,QB,2025,-0.056,0.144,0.096,-0.286,,0.0093
Shay Smith,UTEP,QB,2025,-0.132,-0.307,-0.191,-0.087,,0.0195
Aaron Philo,Georgia Tech,QB,2025,-0.203,-0.535,0.239,-0.534,,0.0716
Deshawn Purdie,Wake Forest,QB,2025,0.235,0.238,-0.046,0.49,,0.2025
Connor Moberly,Iowa State,QB,2025,0.055,-0.502,0.195,-0.502,,0.0029
Bear Bachmeier,BYU,QB,2025,0.301,0.281,0.268,0.363,,0.9651
Cutter Boley,Kentucky,QB,2025,0.185,0.19,0.154,0.226,,0.8224
EJ Colson,Incarnate Word,QB,2025,0.225,0.184,0.081,0.463,,1.0
AJ Hill,Memphis,QB,2025,0.079,0.079,-0.191,0.445,,0.0777
Ty Hawkins,SMU,QB,2025,0.591,0.779,0.53,0.959,,0.0022
Deuce Knight,Auburn,QB,2025,0.545,0.364,0.208,0.807,,0.0694
Karle Lacey Jr.,Texas,QB,2025,0.179,0.179,,0.179,,0.0024
Jamar Malone,Sacramento State,QB,2025,-0.193,,-0.193,,,0.0
Lloyd Jones III,Texas Tech,QB,2025,0.678,1.247,0.258,1.098,,0.0103
TJ Lateef,Nebraska,QB,2025,0.076,0.066,-0.046,0.289,,0.3254
Husan Longstreet,USC,QB,2025,0.851,0.578,0.672,1.231,,0.0357
George MacIntyre,Tennessee,QB,2025,0.425,0.425,0.359,0.535,,0.0206
Ryan Montgomery,Georgia,QB,2025,1.318,1.318,,1.318,,0.0024
Luke Nickel,Miami,QB,2025,-1.15,-1.15,-1.15,,,0.002
Deante Ruffin,Kent State,QB,2025,-0.161,-0.331,-1.013,0.521,,0.0103
Keelon Russell,Alabama,QB,2025,0.56,0.592,0.147,1.387,,0.0287
Steele Pizzella,Wake Forest,QB,2025,-1.257,-1.311,-1.257,,,0.0025
Kevin Sperry,Florida State,QB,2025,0.468,0.526,0.015,1.566,,0.0501
Austin Simmons,Ole Miss,QB,2025,0.526,0.575,0.578,0.408,,0.144
Carter Smith,Wisconsin,QB,2025,-0.123,-0.173,-0.353,0.2,,0.1691
Malik Washington,Maryland,QB,2025,0.19,0.196,-0.024,0.467,,0.9633
Bryce Underwood,Michigan,QB,2025,0.253,0.23,0.19,0.345,,0.9853
Thomas Gotkowski,Miami (OH),QB,2025,0.064,0.044,-0.061,0.233,,0.2343
Ethan Grunkemeyer,Penn State,QB,2025,0.233,0.278,0.084,0.505,,0.5251
Michael Merdinger,Liberty,QB,2025,0.268,0.2,0.45,0.142,,0.1306
Drake Lindsey,Minnesota,QB,2025,0.185,0.194,0.121,0.282,,0.9798
Miles O'Neill,Texas A&M,QB,2025,-0.12,-0.069,0.182,-0.523,,0.0344
Nate Bennett,Baylor,QB,2025,0.119,0.119,-0.576,0.64,,0.0137
Gael Ochoa,UNLV,QB,2025,-0.975,,-0.975,,,0.0
Cole Geer,Virginia,QB,2025,0.214,0.622,-0.08,1.393,,0.0041
AJ Hairston,Massachusetts,QB,2025,-0.036,-0.054,-0.197,0.115,,0.5205
Daniel Beale,Louisiana,QB,2025,0.028,-0.009,-0.09,0.175,,0.2463
Khristian Martin,Maryland,QB,2025,0.125,0.03,0.207,-0.079,,0.0346
Alessio Milivojevic,Michigan State,QB,2025,0.099,0.114,-0.031,0.335,,0.4577
Jake Schakel,Eastern Washington,QB,2025,0.133,0.177,-0.098,0.474,,0.3378
Locklan Hewlett,South Florida,QB,2025,-0.047,0.14,-0.535,0.51,,0.0297
Tavien St. Clair,Ohio State,QB,2025,-0.587,-0.587,-0.587,,,0.0049
Brayden Roggow,Akron,QB,2025,0.203,0.26,0.162,0.254,,0.0423
Chris Dietrich,Bucknell,QB,2025,0.224,0.235,0.129,0.337,,0.3631
Tucker Parks,Western Kentucky,QB,2025,-0.458,-0.99,0.074,-0.99,,0.0041
Arrington Maiden,Memphis,QB,2025,-0.039,-0.184,-0.329,0.14,,0.0243
Matthew Wilson,App State,QB,2025,-0.082,-0.104,0.061,-0.368,,0.0433
Landyn Locke,Sam Houston,QB,2025,0.008,-0.012,-0.117,0.185,,0.3634
Will Wilson,NC State,QB,2025,0.516,-0.376,0.673,-0.979,,0.0122
Brad Jackson,Texas State,QB,2025,0.334,0.339,0.18,0.58,,0.9832
Jared Hollins,South Alabama,QB,2025,0.107,0.129,0.051,0.301,,0.0516
Dermaricus Davis,Hawai'i,QB,2025,0.411,-0.147,0.444,0.37,,0.0056
Jadyn Glasser,Central Michigan,QB,2025,0.453,0.38,0.189,0.942,,0.0357
Cale Hellums,Army,QB,2025,0.303,0.406,0.349,0.202,,0.696
Jake Retzlaff,Tulane,QB,2025,0.301,0.304,0.188,0.524,,0.9222
Ui Ale,Troy,QB,2025,-0.17,-0.427,-0.196,-0.091,,0.0232
Champ Long,North Carolina A&T,QB,2025,-0.075,0.298,-0.773,0.763,,0.0541
Max Shikenjanski,Minnesota,QB,2025,0.589,0.427,-0.928,1.5,,0.0126
Michael Grant,Florida State,QB,2025,3.235,3.235,,3.235,,0.0029
Blake Baker,Louisiana Tech,QB,2025,0.292,0.312,0.28,0.31,,0.4984
Cole Ballard,Kansas,QB,2025,0.089,-0.038,0.125,-0.031,,0.064
Will Burns,Southern Utah,QB,2025,0.497,0.374,0.443,0.655,,0.1074
Lucian Anderson III,Bowling Green,QB,2025,0.219,0.101,-0.141,0.637,,0.1459
Cash Mccollum,Weber State,QB,2025,-1.027,-1.027,-0.926,-1.129,,0.0059
Brandon Tennison,UTSA,QB,2025,0.22,0.212,0.21,0.232,,0.0762
Anthony Garcia,Utah State,QB,2025,0.667,0.732,0.405,1.137,,0.0174
Gunnar Gray,Buffalo,QB,2025,-0.073,-0.042,-0.136,0.031,,0.1296
Jack Jacobs,East Texas A&M,QB,2025,0.241,0.217,0.163,0.397,,0.0457
Ethan Lane,Central Michigan,QB,2025,-0.541,-0.541,-0.512,-0.571,,0.0119
Josh Holst,Northern Illinois,QB,2025,0.066,0.084,0.066,0.065,,0.5328
Kirk Francis,Tulsa,QB,2025,0.124,0.124,0.058,0.215,,0.2162
Jacob Dehaan,Toledo,QB,2025,0.676,,0.676,,,0.0
RJ Johnson III,Florida A&M,QB,2025,0.313,0.304,0.097,0.558,,0.7703
Joey Aguilar,Tennessee,QB,2025,0.37,0.379,0.281,0.537,,0.9245
Caleb Koger,Central Arkansas,QB,2025,0.29,0.389,-0.155,0.834,,0.1194
Nate Bell,Eastern Washington,QB,2025,0.171,-0.026,0.094,0.292,,0.3889
Jared Taylor,Eastern Washington,QB,2025,0.062,0.045,0.061,0.064,,0.1733
Andrew Frazier,Davidson,QB,2025,0.088,0.099,-0.004,0.255,,0.0028
Isaiah Sepand,Davidson,QB,2025,-0.925,-0.925,,-0.925,,0.0
Skyler Cassel,Utah Tech,QB,2025,-0.43,-0.43,-0.43,,,0.0025
Chance Wilson,Montana State,QB,2025,0.912,0.562,0.566,2.641,,0.008
Adam Damante,New Mexico State,QB,2025,0.189,0.186,0.062,0.341,,0.2203
Jaylen King,Florida State,QB,2025,-0.21,-0.42,-0.21,,,0.0029
Colbey Lamberth,Eastern Kentucky,QB,2025,2.321,2.321,,2.321,,0.0
Nehuel Garcia,Furman,QB,2025,-1.296,,-1.296,,,0.0
Keali'i Ah Yat,Montana,QB,2025,0.389,0.391,0.272,0.557,,0.9514
Davin Garinger,Austin Peay,QB,2025,0.265,,0.265,,,0.0
Ty Watkins,North Alabama,QB,2025,-0.376,2.353,-0.649,2.353,,0.0027
Jordyn Potts,Eastern Kentucky,QB,2025,-0.157,-0.152,-0.443,0.058,,0.0893
Amari Odom,Kennesaw State,QB,2025,0.27,0.274,0.05,0.63,,0.6896
Caden Drezek,Maine,QB,2025,0.006,0.026,-0.185,0.083,,0.0369
Zach Marker,Delaware,QB,2025,0.072,-0.239,0.208,-0.019,,0.0148
Nick Minicucci,Delaware,QB,2025,0.264,0.247,0.262,0.267,,0.9501
Daniel Lipovski,Lafayette,QB,2025,0.46,1.548,-1.145,0.995,,0.0056
Noah Brannock,William & Mary,QB,2025,0.012,0.018,-0.03,0.094,,0.0796
Chase Goodwin,Columbia,QB,2025,0.098,0.089,0.021,0.201,,0.6308
Xander Menapace,Columbia,QB,2025,0.113,0.05,0.334,-0.181,,0.1015
Garrett Bass-Sulpizio,Cornell,QB,2025,0.125,0.181,0.011,0.377,,0.8164
Tyler Nelson,Prairie View A&M,QB,2025,-0.233,-0.044,0.084,-0.868,,0.005
Cole Feuerbacher,Missouri State,QB,2025,-0.057,0.179,-0.608,0.179,,0.0185
West Smith,Princeton,QB,2025,0.227,0.227,-0.471,0.366,,0.0189
Kai Coln,Princeton,QB,2025,0.157,0.173,0.014,0.345,,0.7453
Bryce Schondelmyer,Dayton,QB,2025,0.544,0.562,0.533,0.558,,0.5356
Robert Coleman,Lamar,QB,2025,0.02,0.065,-0.001,0.044,,0.3529
Aiden McCown,Lamar,QB,2025,0.168,0.131,0.153,0.189,,0.634
Kamden Sixkiller,Campbell,QB,2025,0.265,0.215,0.15,0.435,,0.852
Jeff Hoenstine,St. Francis (PA),QB,2025,0.002,-0.118,-0.363,0.436,,0.1027
Elijah Owens,Indiana State,QB,2025,0.22,0.169,0.309,0.028,,0.1178
Cadin Olsen,Pennsylvania,QB,2025,2.256,2.256,2.506,2.005,,0.0
Devin Page,Cornell,QB,2025,0.181,0.171,0.102,0.302,,0.1836
Grayson Saunier,Dartmouth,QB,2025,0.322,0.321,0.094,0.658,,0.9929
Jerry Kaminski,North Dakota,QB,2025,0.249,0.248,0.198,0.327,,0.9386
Jackson Kilburg,Colgate,QB,2025,0.142,0.14,0.1,0.225,,0.0248
Julian Dugger,Washington State,QB,2025,0.261,0.112,0.45,0.072,,0.0147
James Murphy,Brown,QB,2025,0.193,0.195,0.068,0.399,,0.9679
Ruben Lee II,Mississippi Valley State,QB,2025,-0.433,-0.433,-0.605,-0.262,,0.0029
Shawn Brown,Stonehill,QB,2025,0.597,0.011,0.179,1.714,,0.0124
JT Fayard,Wofford,QB,2025,0.101,0.145,0.055,0.159,,0.6449
Czavian Teasett,Grambling,QB,2025,0.215,0.165,0.085,0.384,,0.8784
Drew VanVleet,Dayton,QB,2025,0.038,0.121,-0.19,0.244,,0.2542
Trey Drake,North Dakota State,QB,2025,-0.396,-0.155,-0.68,-0.112,,0.0037
Austen Frattura,Davidson,QB,2025,0.665,,1.027,0.303,,0.0
Jaden Keefner,Bryant,QB,2025,0.274,0.236,0.276,0.27,,0.329
Collin Hurst,Presbyterian,QB,2025,0.615,0.627,0.436,0.908,,0.8653
Caron Tyler,Valparaiso,QB,2025,-0.12,-0.042,-0.426,0.235,,0.2257
Landon Graves,UL Monroe,QB,2025,0.211,0.29,-0.178,1.611,,0.1325
Khalil Wilkins,West Virginia,QB,2025,0.129,0.019,-0.096,0.457,,0.1101
Braxton Woodson,Navy,QB,2025,0.345,0.055,0.398,0.258,,0.1044
Brock Thomas,Oregon,QB,2025,0.425,0.416,1.195,0.075,,0.0367
Julian Lewis,Colorado,QB,2025,-0.034,-0.044,-0.428,0.34,,0.264
Xavier Rice,Duquesne,QB,2025,-0.802,-0.802,-0.969,-0.468,,0.0063
Bennett Judy,Western Carolina,QB,2025,0.079,0.095,0.097,0.047,,0.1644
Max Cutforth,Boise State,QB,2025,0.035,0.082,-0.281,0.369,,0.3538
Anthony Benzija,Stetson,QB,2025,0.431,0.431,-0.074,0.647,,0.0
Chris Stephenson,Stetson,QB,2025,0.129,-0.112,0.124,0.136,,0.3204
Nathan Brown,San Diego,QB,2025,-1.258,-2.016,-2.016,-0.501,,0.0
Dominiq Ponder,Colorado,QB,2025,-0.649,-1.087,,-0.649,,0.0028
Jalyn Gramstad,Nebraska,QB,2025,0.067,0.067,0.026,0.128,,0.0132
Jaron-Keawe Sagapolutele,California,QB,2025,0.2,0.221,0.021,0.441,,0.9781
Scotty Fox Jr.,West Virginia,QB,2025,0.036,0.087,-0.086,0.192,,0.5199
Alex Manske,Iowa State,QB,2025,0.401,0.295,0.507,0.295,,0.0145
Shaker Reisig,Boston College,QB,2025,-0.093,-0.153,-0.009,-0.32,,0.0419
Brennen Ward,Kentucky,QB,2025,-0.264,-0.264,-1.213,0.685,,0.0164
Cutter Woods,South Carolina,QB,2025,-0.018,-0.09,-0.242,0.476,,0.0324
Kevin White,North Carolina A&T,QB,2025,0.159,0.157,-0.02,0.345,,0.6858
Zolten Osbourne,Charleston Southern,QB,2025,0.15,0.192,0.08,0.217,,0.9561
Jack Wagner,Idaho,QB,2025,0.216,0.232,0.219,0.21,,0.1316
Nick Josifek,Idaho,QB,2025,0.415,0.398,-0.185,0.949,,0.038
Kia'i Keone,Northern Colorado,QB,2025,-0.954,-4.214,-1.186,-0.023,,0.0025
Dom Nankil,San Diego,QB,2025,0.271,0.284,0.137,0.405,,0.7257
John Michalski,Sacred Heart,QB,2025,0.055,-0.18,-0.271,0.503,,0.1103
Chandler Wilson,VMI,QB,2025,-0.112,-0.203,-0.319,0.066,,0.1471
Jordan Davis,Texas Southern,QB,2025,0.257,0.142,0.359,0.146,,0.0896
Gavin Rutherford,Stephen F. Austin,QB,2025,0.391,0.363,0.314,0.509,,0.1843
Matt Vezza,New Hampshire,QB,2025,0.189,0.132,0.121,0.296,,0.9866
Sean Ashenfelder,Rutgers,QB,2025,0.816,3.025,-1.393,3.025,,0.0026
JC Evans,James Madison,QB,2025,0.579,-0.488,0.353,0.955,,0.0052
Dez Thomas II,Georgetown,QB,2025,0.108,0.012,-0.006,0.247,,0.639
Patrick Duchien,Montana State,QB,2025,0.695,0.628,0.752,0.561,,0.0347
Dante Torres,Harvard,QB,2025,0.683,0.695,0.905,0.46,,0.037
Chris Jimerson Jr.,North Texas,QB,2025,0.961,2.189,1.159,0.367,,0.0042
Christian Langford,Florida International,QB,2025,-0.407,-0.716,-0.407,,,0.0
Kamario Taylor,Mississippi State,QB,2025,0.275,0.031,0.303,0.23,,0.1974
Alberto Mendoza,Indiana,QB,2025,1.336,1.462,1.325,1.418,,0.0594
JP Pickles,Mercer,QB,2025,-0.234,-0.36,-0.171,-0.325,,0.0177
Jim Ogle,Murray State,QB,2025,0.06,0.042,0.056,0.068,,0.7188
Quinn Henicle,Old Dominion,QB,2025,0.066,-0.053,-0.026,0.208,,0.1212
Ryan Boe,Northwestern,QB,2025,0.163,-0.689,0.713,-0.525,,0.0185
Cameran Brown,Georgia State,QB,2025,0.311,0.26,0.243,0.409,,0.3898
Roman Gagliano,Middle Tennessee,QB,2025,0.15,0.141,0.045,0.306,,0.2727
Luke Marble,South Dakota State,QB,2025,-0.044,0.046,-0.004,-0.1,,0.1757
Matt Zollers,Missouri,QB,2025,-0.186,-0.134,-0.277,-0.086,,0.2444
Rodney Tisdale Jr.,Western Kentucky,QB,2025,0.136,0.15,-0.068,0.479,,0.4309
Nate Rogers,UAB,QB,2025,-0.162,-1.077,0.054,-1.462,,0.0046
Ethan Drumm,Wofford,QB,2025,-0.068,-0.066,0.014,-0.156,,0.1277
Carter Jones,Nevada,QB,2025,0.175,0.209,0.244,0.076,,0.5654
Robert McDaniel,San José State,QB,2025,-0.258,-0.284,-0.199,-0.317,,0.0226
Austin Carlisle,Houston,QB,2025,0.339,,0.345,0.309,,0.0
Mason Heintschel,Pittsburgh,QB,2025,0.219,0.229,0.049,0.424,,0.681
Luke Carney,Syracuse,QB,2025,-0.094,-0.27,0.098,-0.368,,0.0172
Jack James,Troy,QB,2025,-1.142,-1.142,,-1.142,,0.0
Chris Denson,Clemson,QB,2025,0.664,-0.087,0.573,0.984,,0.0084
Brady Davidson,Northern Illinois,QB,2025,-0.109,-0.147,-0.169,-0.031,,0.3566
Tristan Ti'a,Oregon State,QB,2025,0.048,0.117,0.007,0.114,,0.123
Ksaan Farrar,UConn,QB,2025,-0.077,-0.057,0.181,-0.452,,0.0399
Weston Bryan,Georgia Southern,QB,2025,0.297,0.201,0.315,0.155,,0.021
Braden Atkinson,Mercer,QB,2025,0.423,0.439,0.379,0.484,,0.8985
Brady Stober,Samford,QB,2025,0.13,0.122,-0.034,0.374,,0.3928
Au'Tori Newkirk,North Carolina,QB,2025,-1.131,-1.499,-1.131,,,0.0169
Mason Drube,Wyoming,QB,2025,-0.093,0.068,-0.258,0.129,,0.0992
Jordan Magwood,Florida Atlantic,QB,2025,0.502,0.443,0.271,0.963,,0.0155
Chaston Ditta,East Carolina,QB,2025,-0.084,-0.004,0.282,-0.66,,0.0545
Banks Bowen,Oklahoma State,QB,2025,0.181,-0.343,-0.12,0.481,,0.0137
Roman Jensen,Maryland,QB,2025,-1.376,,-1.376,,,0.0
Major Cantrell,Iowa State,QB,2025,0.121,,0.121,,,0.0
