player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Dominic Pagano,142850,S,CHARLES SO,9,0,135,0,0,0,0,0,0,75.0,6,0,0.0,0,0,0,0,6.1,8,132,0,0.0,0,0,0,0,25.0,2,0,0.0,0,0,0,0,0,0
Mike Reid,142944,CB,S DAKOTA,14,0,291,0,0,0,0,0,0,83.3,5,0,0.0,0,0,0,0,1.4,6,418,0,0.0,0,0,0,0,16.7,1,0,0.0,0,0,0,0,0,0
Jude Umnuakwe,142946,CB,BRYANT,9,0,124,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.8,1,120,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Neriyan Brown,143100,S,LAFAYETTE,12,0,203,0,0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0.6,2,351,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Adam Port,143106,DI,LAFAYETTE,11,0,203,0,0,0,0,0,0,43.6,24,0,0.0,0,0,0,0,100.0,81,81,0,0.0,0,0,0,0,56.4,31,0,0.0,0,0,0,0,0,0
Joe Frommelt,143195,LB,DRAKE,11,0,153,0,0,0,0,0,0,62.5,5,0,0.0,0,0,1,0,20.0,8,40,0,0.0,0,0,0,0,37.5,3,0,0.0,0,0,0,0,0,1
Jake Shipla,143201,DI,DRAKE,1,0,153,0,0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,100.0,2,2,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tyler Radocha,143203,S,DRAKE,12,0,153,0,0,0,0,0,0,100.0,3,0,0.0,0,0,0,0,1.0,4,392,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Micah Adams,143241,S,STETSON,4,0,302,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,1.3,1,76,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jayren Fox,143340,LB,FL A&M,10,0,164,0,0,0,0,0,0,50.0,3,0,0.0,0,0,0,0,9.1,6,66,0,0.0,0,0,0,0,50.0,3,0,0.0,0,0,0,0,0,0
Eric Haney,143369,CB,SAN DIEGO,11,0,283,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.3,1,343,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Mike Nwokocha,143510,DI,SYRACUSE,2,0,304,0,0,0,0,0,0,29.4,5,0,0.0,0,0,0,0,100.0,18,18,0,0.0,0,0,0,0,70.6,12,0,0.0,0,0,0,0,0,0
Michael Onwuzurike,143613,LB,CENT ARK,2,0,132,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,12.5,1,8,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Chase Loidhamer,143673,ED,CENT WASH,1,0,367,0,0,0,0,0,0,42.1,8,0,0.0,0,0,0,0,95.0,19,20,0,0.0,0,0,0,0,57.9,11,0,0.0,0,0,0,0,0,0
Josiah Cochran,143684,DI,CENT WASH,1,0,367,0,0,0,0,0,0,100.0,18,0,0.0,0,0,0,0,100.0,18,18,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Dylan Smith,143720,ED,MONTANA,1,0,232,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,2,2,0,0.0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0,0
Jace Klucewich,143723,S,MONTANA,12,0,232,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,2,211,0,0.0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0,0
TJ Rausch,143733,S,MONTANA,13,0,232,0,0,0,0,0,0,40.0,2,0,0.0,0,0,0,0,3.4,5,145,0,0.0,0,0,0,0,60.0,3,0,0.0,0,0,0,0,0,0
Day Day Bright,143760,CB,JACKSON ST,13,0,194,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0.8,2,245,0,0.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Cole Batson,143815,S,BOSTON COL,2,0,121,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,20.0,1,5,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Jalen Cheek,143820,S,BOSTON COL,1,0,121,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,7.7,1,13,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Bryce Steele,143838,LB,BOSTON COL,4,0,121,0,0,0,0,0,0,20.0,1,0,0.0,0,0,0,0,20.7,6,29,0,0.0,0,0,0,0,80.0,4,0,0.0,0,0,0,0,0,0
Dylan Merrell,143863,CB,LIUSHAR,11,0,1298,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,1.7,3,180,0,0.0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Joshua Pickett,143869,CB,DUKE,13,0,154,0,0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,1.0,4,413,0,0.0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,0,0
Omarion Cooper,143877,S,FLORIDA ST,2,0,167,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.9,1,17,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Sirad Bryant,143906,S,UAB,12,0,321,0,0,0,0,0,0,70.0,7,0,0.0,0,0,0,0,4.0,10,252,0,0.0,0,0,0,0,30.0,3,0,0.0,0,0,0,0,0,0
Daylon Gordon,143915,HB,GA TECH,1,0,176,0,0,0,0,0,0,,0,0,,0,0,0,0,100.0,1,1,0,0.0,0,0,0,0,,0,0,,0,0,0,0,0,0
RaRa Dillworth,143956,ED,BAYLOR,6,0,118,0,0,0,0,0,0,25.0,1,0,0.0,0,0,0,0,25.0,4,16,0,0.0,0,0,0,0,75.0,3,0,0.0,0,0,0,0,0,0
Dontae Balfour,143957,CB,CHARLOTTE,12,0,136,0,0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,1.1,4,367,0,0.0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,0,0
Nate Evans,143991,CB,DELAWARE,11,0,151,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.5,3,195,0,0.0,0,0,0,0,100.0,3,0,0.0,0,0,0,0,0,0
Tamarion Crumpley,144018,CB,PITTSBURGH,6,0,268,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.4,1,74,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Nick Lapi,144027,LB,PITTSBURGH,2,0,268,0,0,0,0,0,0,60.0,3,0,0.0,0,0,0,0,20.8,5,24,0,0.0,0,0,0,0,40.0,2,0,0.0,0,0,0,0,0,0
Mattheus Carroll,144071,ED,KENT STATE,10,0,201,0,0,0,0,0,0,53.0,44,0,0.0,0,0,0,0,98.8,83,84,0,0.0,0,0,0,0,47.0,39,0,0.0,0,0,0,0,0,0
Jalen Hoyle,144081,S,STNY BROOK,10,0,303,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.4,1,243,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Zaire Patterson,144132,ED,CLEMSON,5,0,140,0,0,0,0,0,0,30.0,3,0,0.0,0,0,0,0,92.9,13,14,0,0.0,0,0,0,0,70.0,7,0,0.0,0,0,0,0,0,0
Jaylin Alderman,144145,LB,MIAMI FL,10,0,220,0,0,0,0,0,0,63.6,7,0,0.0,0,0,0,0,17.0,18,106,0,0.0,0,0,0,0,36.4,4,0,0.0,0,0,0,0,0,0
Victoine Brown,144147,DI,GA STATE,2,0,175,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,2,2,0,0.0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0,0
Jackson Hamilton,144157,LB,GA TECH,11,1,176,0,0,1,0,0,0,53.8,14,0,0.0,0,0,0,0,15.6,26,167,0,0.0,0,0,0,0,46.2,12,0,0.0,0,0,0,0,0,0
Brayln Oliver,144169,CB,FL A&M,5,0,164,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,3.4,2,59,0,0.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Kani Walker,144177,CB,OKLAHOMA,11,0,261,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.5,1,211,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Bryon Threats,144240,S,UCF,3,0,323,0,0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,7.3,3,41,0,0.0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Jalen Emery,144247,CB,HOUSTON,4,0,182,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,6.3,1,16,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Demarcus Griffin-Taylor,144249,CB,LA TECH,13,0,208,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0.8,3,383,0,0.0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Garfield Lawrence,144252,DI,HOUSTON,1,0,182,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,100.0,3,3,0,0.0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Tyrell Raby,144277,CB,MIDDLE TN,10,0,224,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.6,1,156,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Eric Randall III,144278,S,GRAMBLING,6,0,177,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,7.1,2,28,0,0.0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0,0
Cameron Smith,144281,S,TCU,8,0,305,0,0,0,0,0,0,,0,0,,0,0,0,0,0.9,1,114,0,0.0,0,0,0,0,,0,0,,0,0,0,0,0,0
