player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Ethan Robinson,149264,CB,MINNESOTA,13,4,14.9,56.3,98.6,15.3,8.6,1,1,8,16.7,225,73.2,72.2,86.3,48.8,64.3,50.6,3,49,14.7,5,6,2,76.4,27,437,443,7,25,48,3,376,87,0.9,13.9
Marquis Cooper,149289,CB,BUFFALO,11,3,10.4,70.0,98.5,6.8,4.7,0,0,7,8.8,126,69.6,68.8,87.6,53.2,62.6,57.1,2,78,18.8,9,5,1,98.6,56,394,400,14,36,80,3,694,252,1.8,12.4
Dominic Morris,149914,CB,COLO STATE,13,3,10.0,55.2,98.5,8.4,4.7,0,0,8,11.9,144,57.3,61.2,47.3,61.8,78.1,75.0,1,39,9.1,3,6,2,78.3,37,334,339,3,27,67,2,426,144,1.4,11.5
Savio Frazier,149940,DI,MIAMI OH,14,0,,,0.4,,,0,0,0,,221,60.0,73.7,65.4,71.8,71.7,53.9,0,,0.0,0,0,1,0.0,0,1,252,2,1,0,0,0,0,0.0,
Jordan Oladokun,149952,CB,BOWL GREEN,13,4,13.0,42.6,99.5,14.6,6.2,0,0,10,16.4,122,85.2,82.2,85.5,73.3,60.4,61.4,5,48,9.4,3,9,2,18.4,26,401,403,10,25,61,0,219,128,0.6,8.4
Kobe Stewart,149961,ED,BUFFALO,13,4,,,1.8,,,0,0,0,,126,68.2,70.0,87.4,67.0,66.6,70.7,0,,33.3,3,0,0,0.0,0,7,393,10,2,0,0,0,0,0.0,
Dramarian McNulty,150010,CB,E MICHIGAN,10,1,12.8,70.0,99.6,10.9,7.6,0,0,2,6.7,160,55.7,62.6,86.3,67.4,84.8,43.5,1,90,20.0,3,2,3,138.2,21,244,245,3,11,30,4,417,208,1.8,19.9
Andreas Keaton,150011,S,TEMPLE,12,3,11.2,72.0,97.9,19.5,14.0,0,1,3,12.0,306,64.0,65.5,88.1,82.4,62.5,75.7,1,45,7.4,2,3,0,128.2,18,375,383,7,22,25,3,259,96,0.7,14.4
Eli Purcell,150040,LB,TENNESSEE,3,0,,,92.3,,,0,0,0,,307,63.6,74.5,74.3,59.5,78.1,80.0,0,,,0,0,0,0.0,0,12,13,0,0,0,0,0,0,0.0,
B.J. Mayes,150058,CB,TEXAS A&M,11,3,10.9,54.3,97.7,14.8,8.0,0,1,4,11.4,312,82.2,80.2,42.4,72.3,68.4,70.4,4,30,12.0,3,4,5,53.5,19,304,311,5,19,35,2,224,89,0.8,11.8
Elinus Noel III,150107,DI,BAYLOR,13,0,,,1.4,,,1,0,0,,118,59.8,50.8,46.5,57.4,49.0,54.6,1,,66.7,2,0,2,0.0,0,3,209,1,1,0,0,0,0,0.0,
Jake Golday,150178,LB,CINCINNATI,12,3,1.6,77.8,85.4,14.6,11.3,0,0,1,5.6,138,81.8,80.9,87.5,59.9,80.7,75.5,0,20,16.0,4,1,0,86.6,14,210,246,7,18,18,0,86,77,0.4,6.1
Syrus Webster,150230,ED,WASH STATE,13,3,2.0,100.0,6.0,6.0,6.0,0,0,0,0.0,341,59.0,69.1,88.6,70.7,63.1,67.5,0,15,30.0,3,0,0,98.6,3,19,316,3,4,3,0,23,17,1.3,7.7
Kavian Gaither,150289,LB,SM HOUSTON,13,7,4.4,55.9,81.7,19.8,11.1,0,0,3,8.8,281,85.4,76.6,63.3,69.1,66.3,60.0,2,16,26.2,11,2,1,47.8,19,398,487,15,24,34,1,113,90,0.3,5.9
David Fisher,150294,CB,SM HOUSTON,13,3,12.1,50.8,97.5,12.9,6.5,0,0,6,9.5,281,72.9,72.6,86.9,50.6,67.9,66.4,2,52,15.0,6,5,0,65.6,32,436,447,10,31,63,2,361,127,0.9,11.3
Caleb Weaver,150298,S,SM HOUSTON,13,7,10.1,50.0,98.3,34.6,17.3,0,1,7,26.9,281,79.9,84.9,89.5,55.2,89.0,81.7,4,36,7.0,3,6,0,37.7,13,475,483,8,33,26,1,129,23,0.3,9.9
Emon Allen,150299,CB,SM HOUSTON,6,0,11.4,50.0,98.5,17.6,8.8,0,0,2,14.3,281,74.7,75.2,82.0,56.0,73.0,71.4,0,17,12.5,1,0,1,83.0,7,133,135,2,7,14,1,52,26,0.4,7.4
Derek Carter Jr.,150315,CB,JVILLE ST,12,3,14.0,63.6,100.0,9.5,6.0,0,0,2,9.1,196,63.4,66.3,81.7,,75.2,49.3,0,31,19.0,4,1,1,106.4,14,144,144,4,14,22,1,191,68,1.4,13.6
Canden Grogan,150353,CB,TEXAS ST,10,0,10.7,53.3,100.0,10.0,5.3,0,0,3,20.0,314,66.4,65.3,79.7,,56.6,68.6,0,40,14.3,1,2,0,97.6,8,83,83,3,6,15,1,104,44,1.3,13.0
Breylon Charles,150369,ED,N TEXAS,11,0,,,1.2,,,2,0,0,,251,46.3,61.3,14.1,66.3,64.2,55.7,0,,75.0,3,0,4,0.0,0,3,257,5,1,0,0,0,0,0.0,
Avarion Cole,150570,S,APP STATE,10,3,10.3,91.7,95.1,11.3,10.3,0,0,2,16.7,108,60.8,63.7,0.0,58.0,75.3,72.4,0,76,14.3,2,1,3,158.3,11,136,143,4,9,12,2,188,84,1.5,17.1
Tyquan King,150571,LB,TEMPLE,11,9,4.6,60.0,90.0,22.3,13.4,0,0,1,5.0,306,68.6,71.7,84.3,77.0,67.4,66.6,0,17,15.2,5,1,0,70.4,12,287,319,12,19,20,0,88,62,0.3,7.3
Marcel Walker-Burgess,150625,ED,OHIO,14,0,3.7,0.0,15.4,,14.7,0,0,0,0.0,259,87.4,75.5,70.0,74.1,62.1,80.0,1,,20.0,3,0,1,0.0,0,45,293,14,12,3,0,0,0,0.0,
Ja'Kai Young,150639,LB,JAMES MAD,1,0,,,100.0,,,0,0,0,,197,60.0,63.2,67.2,,61.9,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Wrook Brown,150691,S,WYOMING,12,2,12.1,59.4,98.7,8.4,5.0,0,1,5,7.2,351,59.3,60.3,48.1,55.4,64.5,55.4,3,53,16.7,7,5,1,78.2,41,367,372,9,33,69,3,501,191,1.5,12.2
Andrew Johnson,150695,S,WYOMING,8,1,15.7,36.4,97.3,41.3,15.0,0,0,1,9.1,351,62.6,62.8,84.7,55.9,62.4,62.4,0,36,18.8,3,1,0,52.1,4,178,183,3,12,11,0,52,36,0.3,13.0
