player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Bryce Young,184110,ED,NOTRE DAME,13,4,,,1.0,,,0,0,0,,258,65.4,57.7,41.7,55.0,60.3,78.4,0,,14.3,1,0,2,0.0,0,2,210,4,2,0,0,0,0,0.0,
Stellan Bowman,184112,LB,OHIO,7,4,4.7,66.7,85.7,25.0,16.7,0,0,0,0.0,259,67.9,62.4,76.4,67.9,53.3,56.2,0,14,0.0,0,0,0,86.8,2,54,63,2,3,3,0,21,10,0.4,10.5
Hyajah Miller,184131,CB,TOLEDO,1,0,10.5,50.0,100.0,11.0,5.5,0,0,0,0.0,316,53.0,53.1,72.4,,60.0,73.5,0,11,0.0,0,0,0,66.7,1,12,12,0,1,2,0,11,6,1.0,11.0
K'Von Sherman,184134,LB,TOLEDO,3,0,0.0,100.0,100.0,8.5,8.5,0,0,0,0.0,316,63.2,63.3,77.3,,60.9,30.0,0,13,50.0,1,0,0,93.8,2,19,19,1,1,2,0,13,13,0.8,6.5
Joshua Lloyd,184138,ED,W MICHIGAN,3,0,,,33.3,,,0,0,0,,347,60.0,57.0,71.8,55.5,60.0,,0,,,0,0,0,0.0,0,2,6,0,0,0,0,0,0,0.0,
Isaiah Paul,184139,CB,W MICHIGAN,4,0,8.4,71.4,100.0,8.8,6.3,0,1,1,14.3,347,52.9,55.6,77.7,,70.6,57.3,1,21,20.0,1,1,2,59.5,5,46,46,0,4,7,0,63,34,1.4,12.6
Rich Benenge,184140,LB,AKRON,6,0,1.3,100.0,85.2,7.7,7.7,0,0,0,0.0,102,59.9,57.1,76.1,54.9,56.8,72.2,0,9,0.0,0,0,0,90.3,3,23,27,1,2,3,0,17,13,0.7,5.7
Rodrick Hunter,184144,S,AKRON,2,0,16.5,100.0,100.0,4.0,4.0,0,0,0,0.0,102,58.6,57.2,74.3,,55.8,53.6,0,35,0.0,0,0,0,118.8,2,8,8,1,2,2,0,35,2,4.4,17.5
Kal-El Pascal,184151,S,BOWL GREEN,9,1,4.3,71.4,82.8,10.2,7.3,0,0,1,14.3,122,72.6,72.5,80.0,67.5,64.6,55.7,0,9,22.2,2,1,0,78.3,5,53,64,2,6,7,0,28,24,0.5,5.6
Dorian Pringle,184152,LB,BOWL GREEN,2,0,,,100.0,,,0,0,0,,122,63.0,68.0,69.0,,65.7,74.3,0,,,0,0,0,0.0,0,6,6,0,0,0,0,0,0,0.0,
Tre Fulton,184206,S,UNLV,1,0,15.5,50.0,100.0,4.0,2.0,0,0,0,0.0,325,47.8,52.3,69.7,,60.0,79.6,0,16,0.0,0,0,0,77.1,1,5,5,0,1,2,0,16,0,4.0,16.0
Kela Moore,184209,CB,UNLV,1,0,,,100.0,,,0,0,0,,325,62.9,63.8,71.6,,60.0,,0,,,0,0,0,0.0,0,5,5,0,0,0,0,0,0,0.0,
Koi Pa'ao'ao,184211,LB,UNLV,1,0,,,100.0,,,0,0,0,,325,60.7,45.9,68.1,,44.9,20.1,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Halatoa Tai,184213,LB,UNLV,1,0,,,100.0,,,0,0,0,,325,70.3,80.3,66.0,,60.0,73.1,0,,0.0,0,0,0,0.0,0,2,2,1,1,0,0,0,0,0.0,
Frank Cusano,184216,LB,WASH STATE,2,0,-2.0,100.0,50.0,3.0,3.0,0,0,0,0.0,341,41.9,52.8,72.3,56.3,72.3,49.5,0,33,,0,0,0,158.3,1,3,6,0,0,1,1,33,35,11.0,33.0
Jaylon Edmond,184218,CB,WASH STATE,1,0,,,100.0,,,0,0,0,,341,64.0,56.9,0.0,,63.7,82.6,0,,0.0,0,0,1,0.0,0,4,4,0,1,0,0,0,0,0.0,
Tony Freeman,184219,WR,WASH STATE,2,0,,,100.0,,,0,0,0,,341,63.0,64.9,60.0,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Kenny Worthy III,184225,CB,WASH STATE,1,0,,,100.0,,,0,0,0,,341,61.6,63.3,70.7,,61.8,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Travis Anderson,184226,S,BOISE ST,1,0,5.0,0.0,100.0,,3.0,0,0,0,0.0,120,61.6,59.2,68.8,,56.9,74.8,0,,,0,0,0,39.6,0,3,3,0,0,1,0,0,0,0.0,
Clay Martineau,184232,LB,BOISE ST,2,0,,,50.0,,,0,0,0,,120,60.0,89.6,70.5,74.5,78.6,75.7,0,,,0,0,0,0.0,0,1,2,1,0,0,0,0,0,0.0,
Jakari Embry,184236,CB,FRESNO ST,9,1,9.3,66.7,92.0,8.4,5.6,1,0,2,5.1,169,46.8,50.3,0.0,70.4,73.0,54.4,0,60,21.7,5,1,7,121.3,26,230,250,6,17,39,3,356,194,1.6,13.7
Zane Rix,184240,ED,FRESNO ST,1,0,,,14.3,,,0,0,0,,169,60.0,63.8,72.5,62.9,60.0,,0,,,0,0,0,0.0,0,1,7,0,0,0,0,0,0,0.0,
Damarrion White,184242,ED,FRESNO ST,3,0,,,16.7,,,0,0,0,,169,60.4,55.7,73.7,53.8,60.0,,0,,,0,0,0,0.0,0,2,12,0,0,0,0,0,0,0.0,
Exodus Ayers,184244,CB,OREGON ST,7,2,13.8,59.1,97.8,10.2,6.0,1,0,3,13.6,265,61.0,60.3,0.0,51.3,68.8,74.1,0,40,8.3,1,1,2,100.4,13,136,139,1,9,22,1,179,37,1.4,13.8
Gyriece Goodman,184245,LB,OREGON ST,3,0,,,78.6,,,0,0,0,,265,65.4,55.3,75.2,56.1,47.1,77.8,0,,0.0,0,0,0,0.0,0,11,14,0,1,0,0,0,0,0.0,
Jaheim Patterson,184249,S,OREGON ST,6,1,19.2,60.0,98.0,15.0,9.0,0,0,0,0.0,265,53.1,60.5,77.4,60.0,67.5,49.7,0,28,16.7,1,0,0,125.0,3,48,49,1,4,5,1,40,15,0.9,13.3
Aiden Sullivan,184250,LB,OREGON ST,4,0,-1.0,0.0,81.8,,18.0,0,0,0,0.0,265,66.6,54.2,75.8,73.8,36.9,45.3,0,,0.0,0,0,0,39.6,0,18,22,0,2,1,0,0,0,0.0,
Amarion York,184251,S,OREGON ST,1,0,,,100.0,,,0,0,0,,265,60.0,62.9,68.2,,60.0,76.2,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Jaavan Mack,184268,CB,CHARLOTTE,3,0,24.0,0.0,100.0,,5.0,0,0,0,0.0,136,45.0,55.1,74.7,,74.4,78.5,0,,,0,0,0,39.6,0,10,10,0,0,2,0,0,0,0.0,
Jeremiah Holmes,184280,CB,GA SOUTHRN,1,0,,,100.0,,,0,0,0,,174,60.0,61.3,67.3,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Dorrian Smith,184289,CB,GA SOUTHRN,11,1,12.3,62.5,99.1,10.3,6.4,0,0,2,6.3,174,68.5,72.0,83.2,66.3,82.2,72.1,1,70,19.0,4,1,0,112.9,20,219,221,6,16,32,3,311,124,1.5,15.6
Damaine Wilson,184300,LB,GA STATE,10,1,3.5,87.5,87.9,6.9,6.0,0,0,0,0.0,175,33.8,49.0,80.4,49.8,62.5,56.4,1,29,57.1,4,0,0,113.3,14,102,116,0,2,16,1,199,159,2.1,14.2
KJ Flowe,184303,CB,JAMES MAD,13,0,8.2,75.0,89.2,5.2,3.9,0,0,4,20.0,197,62.1,58.7,0.0,51.4,57.6,88.4,0,30,0.0,0,4,1,90.6,15,83,93,3,10,20,0,125,63,1.6,8.3
Chase Regan,184308,S,JAMES MAD,4,0,,,91.7,,,0,0,0,,197,62.5,67.9,74.6,65.0,65.1,47.2,0,,,0,0,0,0.0,0,11,12,0,0,0,0,0,0,0.0,
Kelbee Holmes,184317,LB,LA MONROE,2,0,-5.0,0.0,100.0,,6.0,0,0,0,0.0,209,64.5,48.4,76.2,,42.6,58.4,0,,0.0,0,0,0,39.6,0,9,9,0,1,1,0,0,0,0.0,
Daniel Knudsen,184318,LB,LA MONROE,12,3,6.5,75.0,80.7,18.2,13.6,0,0,1,12.5,209,59.8,46.2,24.7,71.3,33.7,81.6,0,40,0.0,0,1,1,156.3,6,117,145,0,4,8,1,116,89,1.1,19.3
Billy Pullen,184320,ED,LA MONROE,12,0,3.6,80.0,14.9,10.8,8.6,2,1,0,0.0,209,59.2,63.4,28.9,68.4,61.5,34.0,0,10,54.5,6,0,4,91.7,4,45,302,10,5,5,0,30,24,0.7,7.5
Kristopher Robinson,184321,S,LA MONROE,2,0,23.0,0.0,100.0,,13.0,0,0,1,100.0,209,81.2,78.7,75.4,,65.2,80.1,0,,0.0,0,1,0,39.6,0,13,13,0,2,1,0,0,0,0.0,
Stephen Saywahn,184322,S,LA MONROE,6,3,5.5,78.6,88.0,7.0,5.5,0,0,0,0.0,209,49.7,56.2,79.8,55.1,73.9,77.5,0,13,12.5,1,0,0,93.8,11,81,92,0,4,14,0,91,74,1.2,8.3
JD Stewart,184324,ED,LA MONROE,2,1,,,11.8,,,0,0,0,,209,62.9,56.0,80.6,57.6,53.7,78.7,0,,0.0,0,0,0,0.0,0,2,17,0,0,0,0,0,0,0.0,
Kevontay Wells,184328,ED,LA MONROE,12,1,,,2.4,,,0,0,0,,209,70.7,60.6,27.2,66.5,56.4,37.8,0,,14.3,1,0,3,0.0,0,5,209,6,5,0,0,0,0,0.0,
Jerome Carter,184331,S,DOMINION,7,0,-1.0,0.0,94.0,,43.0,0,1,0,0.0,263,47.9,55.0,78.2,55.0,68.1,72.6,0,,0.0,0,0,0,39.6,0,47,50,0,2,1,0,0,0,0.0,
Jahron Manning,184333,S,DOMINION,11,4,7.6,58.8,96.8,28.3,16.6,0,0,3,17.6,263,90.0,84.7,47.0,65.0,64.0,70.1,3,19,7.1,2,3,1,26.0,10,301,311,10,22,17,0,59,48,0.2,5.9
Ny'Len Jones,184335,LB,DOMINION,1,0,,,77.8,,,0,0,0,,263,62.4,63.9,76.8,58.9,63.6,76.1,0,,,0,0,0,0.0,0,7,9,0,0,0,0,0,0,0.0,
Jalyn Durgan,184338,ED,S ALABAMA,13,2,2.0,0.0,3.0,,3.0,0,0,0,0.0,288,66.0,62.9,50.5,58.4,65.0,74.9,0,,20.0,1,0,1,39.6,0,3,100,1,2,1,0,0,0,0.0,
Amarion Fortenberry,184339,CB,S ALABAMA,13,6,15.2,62.3,98.8,9.3,5.8,0,1,6,11.3,288,64.2,68.3,44.4,82.7,81.4,72.8,2,75,5.6,2,5,1,107.5,33,324,328,7,28,53,3,641,164,2.1,19.4
Jordan Scruggs,184348,CB,S ALABAMA,12,5,9.4,60.9,99.0,13.6,8.3,0,2,5,10.9,288,82.0,81.1,53.0,55.8,80.1,85.3,1,71,8.3,3,4,1,100.0,28,397,401,11,28,46,3,381,241,1.0,13.6
Ryan Nolan,184356,S,TEXAS ST,12,4,8.5,76.2,100.0,16.4,12.5,0,0,1,4.8,314,73.1,70.6,85.3,60.0,63.2,62.9,0,39,9.5,2,0,0,113.0,16,279,279,6,15,21,1,159,55,0.6,9.9
Kameron Pearson,184357,S,TEXAS ST,7,0,15.3,50.0,97.2,15.5,7.8,0,0,1,25.0,314,55.8,60.9,77.5,60.0,69.3,66.4,0,28,,0,1,1,113.5,2,35,36,0,0,4,1,29,8,0.9,14.5
Rondell Carter,184364,S,TROY,3,0,11.0,50.0,100.0,10.0,5.0,0,0,1,50.0,318,62.2,60.0,72.7,,56.0,39.0,0,7,0.0,0,0,0,97.9,1,10,10,1,1,2,1,7,1,0.7,7.0
Semaj James,184371,CB,TROY,1,0,,,100.0,,,0,0,0,,318,60.0,60.4,63.8,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Dylan Mann,184373,DI,TROY,5,0,,,9.1,,,0,0,0,,318,60.0,49.7,75.2,56.3,50.8,22.2,0,,,0,0,0,0.0,0,1,11,0,0,0,0,0,0,0.0,
Selman Bridges,184381,CB,ARKANSAS,2,0,15.0,50.0,100.0,8.0,4.0,0,0,1,50.0,111,44.7,44.5,71.7,,60.0,21.7,0,15,100.0,1,0,0,114.6,1,9,9,0,0,2,1,15,11,1.9,15.0
Ahkhari Johnson,184387,S,ARKANSAS,1,0,,,100.0,,,0,0,0,,111,40.7,47.1,77.8,,62.3,78.6,0,,0.0,0,0,0,0.0,0,7,7,0,1,0,0,0,0,0.0,
Tevis Metcalf,184391,CB,ARKANSAS,1,0,8.0,100.0,100.0,5.0,5.0,0,0,0,0.0,111,40.7,41.7,94.2,,60.4,,0,21,,0,0,0,118.8,2,11,11,0,0,2,0,38,22,3.8,19.0
D.J. Barber,184394,LB,AUBURN,1,0,,,100.0,,,0,0,0,,115,60.0,60.9,63.0,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Jay Crawford,184399,CB,AUBURN,11,0,13.5,40.6,100.0,19.2,7.8,1,0,9,28.1,115,77.5,76.6,84.6,,65.3,47.6,1,73,25.0,4,5,3,67.1,13,268,268,4,12,32,2,179,94,0.7,13.8
Kaleb Harris,184402,S,AUBURN,12,4,8.8,50.0,96.3,22.1,11.0,0,1,3,11.5,115,74.3,78.0,87.6,68.1,80.2,85.3,0,21,0.0,0,3,1,78.8,13,311,323,6,19,26,1,139,56,0.5,10.7
Kensley Louidor-Faustin,184405,CB,AUBURN,9,0,15.3,55.6,96.4,15.2,8.4,0,0,2,22.2,115,54.2,56.9,84.2,58.7,67.4,48.3,0,34,25.0,1,1,1,98.4,5,81,84,0,3,9,0,108,30,1.4,21.6
Demarcus Riddick,184410,ED,AUBURN,9,2,6.5,100.0,67.3,33.5,33.5,0,0,0,0.0,115,63.5,65.8,86.6,65.9,63.4,56.2,0,35,40.0,4,0,0,118.8,2,72,107,6,4,2,0,43,30,0.6,21.5
Laquan Robinson,184411,LB,AUBURN,1,0,,,100.0,,,0,0,0,,115,60.5,72.6,66.9,,69.2,73.2,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Amaris Williams,184415,ED,AUBURN,9,0,,,1.6,,,0,0,0,,115,60.0,71.8,79.3,68.4,69.5,78.3,0,,,0,0,0,0.0,0,1,61,0,0,0,0,0,0,0.0,
Michai Boireau,184418,DI,FLORIDA,12,1,,,1.6,,,0,0,0,,163,58.5,62.6,81.6,53.4,66.4,60.4,0,,0.0,0,0,0,0.0,0,1,62,0,0,0,0,0,0,0.0,
Josiah Davis,184420,CB,FLORIDA,2,0,4.0,100.0,93.3,5.5,5.5,0,0,0,0.0,163,39.6,39.5,75.0,58.9,60.0,28.2,0,28,50.0,1,0,1,118.8,2,14,15,0,1,2,0,47,39,4.3,23.5
Teddy Foster,184421,CB,FLORIDA,3,0,20.3,66.7,100.0,11.5,7.7,0,0,0,0.0,163,39.0,40.9,75.0,,64.5,78.5,0,24,0.0,0,0,0,106.3,2,27,27,0,2,3,0,35,0,1.5,17.5
Myles Graham,184422,LB,FLORIDA,11,3,8.8,54.5,82.5,12.2,6.6,0,0,0,0.0,163,53.7,68.2,77.3,65.7,80.7,61.0,1,22,33.3,3,0,0,76.5,6,80,97,2,3,11,2,72,52,1.0,12.0
Jamroc Grimsley,184423,CB,FLORIDA,2,0,45.0,0.0,100.0,,17.0,0,0,0,0.0,163,66.8,64.0,74.6,,53.3,21.7,0,,,0,0,0,39.6,0,18,18,0,0,1,0,0,0,0.0,
LJ McCray,184427,ED,FLORIDA,12,0,6.5,50.0,17.6,17.0,8.5,0,0,0,0.0,163,55.1,57.9,7.4,57.9,64.8,68.5,0,10,50.0,1,0,2,64.6,1,18,102,1,1,2,0,10,6,0.6,10.0
Greg Smith,184431,S,FLORIDA,5,0,5.8,50.0,100.0,27.5,13.8,0,0,0,0.0,163,66.7,64.1,79.3,,55.6,48.4,0,17,25.0,1,0,0,61.5,2,62,62,1,3,4,0,17,4,0.3,8.5
Xavier Atkins,184438,LB,LSU,4,0,6.6,80.0,75.0,4.5,3.6,0,0,0,0.0,211,37.7,42.8,74.7,62.2,60.6,46.4,0,19,50.0,1,0,0,110.0,4,18,24,0,1,5,0,52,29,2.9,13.0
Trey'Dez Green,184453,TE,LSU,1,0,,,100.0,,,0,0,0,,211,60.0,60.0,63.1,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Davhon Keys,184459,LB,LSU,8,3,3.9,82.4,77.7,7.7,6.4,0,1,3,17.6,211,70.1,69.8,18.2,61.1,73.2,83.5,1,20,9.1,1,3,1,95.8,14,115,148,2,7,17,1,139,106,1.3,9.9
Gabriel Reliford,184463,ED,LSU,10,0,0.0,100.0,8.5,7.0,7.0,0,0,0,0.0,211,54.1,62.9,34.8,73.6,54.8,59.5,0,5,,0,0,1,87.5,1,7,82,1,0,1,0,5,5,0.7,5.0
Joel Rogers,184464,S,LSU,1,0,,,100.0,,,0,0,0,,211,48.8,53.8,69.8,,62.0,28.5,0,,100.0,1,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Tylen Singleton,184465,LB,LSU,1,1,-4.0,100.0,100.0,4.0,4.0,0,0,0,0.0,211,48.0,45.8,71.8,,60.0,74.8,0,46,0.0,0,0,0,118.8,1,4,4,0,0,1,0,46,50,11.5,46.0
Michael Turner Jr.,184467,CB,LSU,2,0,25.5,100.0,93.8,6.5,6.5,1,1,0,0.0,211,43.2,42.8,72.6,58.3,60.0,74.2,0,32,0.0,0,0,1,118.8,2,15,16,0,1,2,0,52,1,4.0,26.0
PJ Woodland,184471,CB,LSU,12,1,10.4,65.0,98.3,8.2,5.4,0,0,4,20.0,211,61.6,61.3,82.5,54.7,59.6,51.5,0,34,20.0,3,3,3,107.1,13,114,116,3,11,20,1,164,71,1.5,12.6
Trajen Greco,184477,S,MISSOURI,7,0,9.0,100.0,94.4,17.0,17.0,0,0,0,0.0,229,41.2,50.8,75.6,60.0,73.4,75.3,0,43,,0,0,0,118.8,1,17,18,0,0,1,0,43,34,2.5,43.0
Brian Huff,184478,LB,MISSOURI,1,0,,,100.0,,,0,0,0,,229,61.1,64.6,70.6,,62.9,73.6,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Cameron Keys,184480,CB,MISSOURI,1,0,,,100.0,,,0,0,0,,229,61.8,62.9,69.0,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Fred Johnson,184487,LB,S CAROLINA,5,1,1.9,50.0,92.3,9.4,4.7,0,0,1,10.0,289,74.6,70.1,74.8,62.6,58.1,57.7,0,13,33.3,1,1,0,56.3,5,48,52,1,1,10,0,24,21,0.5,4.8
David Bucey,184489,S,S CAROLINA,4,0,,,100.0,,,0,0,1,,289,76.1,79.9,74.0,,74.7,78.0,0,,,0,1,0,0.0,0,13,13,0,0,0,0,0,0,0.0,
Kelvin Hunter,184493,CB,S CAROLINA,3,0,-2.3,75.0,100.0,6.0,4.5,0,0,0,0.0,289,69.3,69.9,74.2,,64.5,47.4,0,7,20.0,1,0,0,77.1,3,19,19,1,4,4,0,1,13,0.1,0.3
Dylan Stewart,184500,ED,S CAROLINA,13,0,5.7,100.0,1.6,1.7,1.7,2,0,1,33.3,289,40.4,80.9,25.9,91.4,61.9,54.0,0,15,75.0,3,1,4,115.3,3,5,314,7,1,3,0,35,18,7.0,11.7
Kobe Black,184503,CB,TEXAS,9,3,14.0,57.1,96.7,14.0,8.0,0,0,1,14.3,311,64.0,67.5,77.9,58.8,78.0,69.2,0,39,12.5,1,0,0,99.1,4,58,60,0,4,7,0,83,12,1.5,20.8
Xavier Filsaime,184508,S,TEXAS,3,0,-3.0,0.0,100.0,,13.0,0,0,0,0.0,311,28.5,28.4,72.9,,53.5,28.2,0,,,0,0,0,39.6,0,13,13,0,0,1,0,0,0,0.0,
Jordon Johnson-Rubell,184511,S,TEXAS,6,1,-4.0,50.0,100.0,37.0,18.5,0,0,0,0.0,311,67.2,67.2,0.0,,72.8,83.8,0,4,0.0,0,0,1,56.3,1,38,38,0,4,2,0,4,8,0.1,4.0
Wardell Mack,184513,CB,TEXAS,4,0,11.5,25.0,87.5,14.0,3.5,0,0,1,25.0,311,88.1,85.3,77.4,56.7,65.2,77.7,1,20,0.0,0,0,0,8.3,1,14,16,0,1,4,0,20,15,1.4,20.0
Colin Simmons,184515,ED,TEXAS,16,3,2.7,71.4,21.4,12.8,9.1,3,0,0,0.0,311,72.6,82.5,0.0,90.0,73.4,61.2,1,15,20.0,3,0,6,45.2,5,66,308,16,9,7,0,39,36,0.6,7.8
Ty'Anthony Smith,184516,LB,TEXAS,11,0,1.8,80.0,94.2,11.5,9.2,0,0,0,0.0,311,62.3,68.0,76.2,65.4,69.8,55.7,1,16,0.0,0,0,0,53.8,4,49,52,1,3,5,0,32,33,0.7,8.0
Zina Umeozulu,184517,ED,TEXAS,1,0,,,100.0,,,0,0,0,,311,60.0,60.7,66.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Dontae Carter,184523,S,VANDERBILT,11,2,8.1,64.7,97.4,9.6,6.2,0,1,1,5.9,333,60.3,59.9,82.6,54.2,59.3,40.0,0,27,27.3,3,1,0,101.8,11,114,117,2,6,17,1,107,36,1.0,9.7
Zabien Brown,184529,CB,ALABAMA,13,2,17.1,45.0,100.0,18.7,8.4,0,0,1,2.5,103,70.8,70.4,47.0,,67.3,66.8,3,47,5.6,1,1,2,60.2,18,357,357,5,15,40,3,258,57,0.8,14.3
Sterling Dixon,184532,LB,ALABAMA,1,0,,,100.0,,,0,0,0,,103,60.0,61.4,63.9,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Cayden Jones,184538,LB,ALABAMA,5,1,14.0,0.0,69.2,,4.5,0,0,1,50.0,103,73.3,83.5,72.2,56.1,83.0,81.1,0,,0.0,0,1,0,39.6,0,9,13,0,0,2,0,0,0,0.0,
Dre Kirkpatrick Jr.,184539,CB,ALABAMA,3,0,,,100.0,,,0,0,0,,103,62.7,59.1,74.3,,55.4,41.3,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Jaylen Mbakwe,184540,CB,ALABAMA,10,1,12.2,76.5,97.6,9.0,6.9,0,0,2,11.8,103,68.6,68.2,81.9,47.5,67.2,67.2,1,55,8.3,1,1,1,106.0,13,123,126,5,10,17,1,184,53,1.6,14.2
Zavier Mincey,184541,S,ALABAMA,7,1,7.3,50.0,91.3,21.0,10.5,0,0,1,25.0,103,66.1,72.8,80.4,55.2,83.3,88.4,0,7,0.0,0,1,0,56.3,2,42,46,0,2,4,0,7,3,0.2,3.5
Red Morgan,184542,CB,ALABAMA,10,0,15.4,50.0,99.1,12.6,6.3,0,0,4,25.0,103,53.9,55.0,83.4,60.0,59.0,27.0,0,32,28.6,2,2,1,73.4,8,113,114,3,5,16,0,114,64,1.1,14.3
Justin Okoronkwo,184544,LB,ALABAMA,5,0,3.0,0.0,72.7,,8.0,0,0,0,0.0,103,62.1,69.8,75.8,56.8,71.7,83.2,0,,,0,0,0,39.6,0,8,11,0,0,1,0,0,0,0.0,
KJ Bolden,184549,S,GEORGIA,14,2,9.0,60.0,98.6,18.1,10.8,0,1,1,3.3,173,83.9,82.0,86.1,65.1,74.6,77.0,1,17,5.6,2,1,1,66.1,18,353,358,14,32,30,1,121,58,0.4,6.7
Chris Cole,184554,LB,GEORGIA,9,0,6.2,69.2,78.6,6.8,4.7,0,1,1,7.7,173,69.3,70.4,80.0,53.4,77.4,67.5,0,20,18.2,2,1,1,81.9,9,66,84,3,9,13,0,69,19,1.1,7.7
Quintavius Johnson,184564,ED,GEORGIA,3,0,,,8.3,,,0,0,0,,173,60.0,72.2,77.7,60.7,74.4,75.2,0,,,0,0,0,0.0,0,1,12,0,0,0,0,0,0,0.0,
Demello Jones,184566,CB,GEORGIA,2,0,13.0,0.0,100.0,,9.0,0,0,0,0.0,173,56.2,52.2,73.0,,48.9,28.3,0,,,0,0,0,39.6,0,9,9,0,0,1,0,0,0,0.0,
Ellis Robinson IV,184574,CB,GEORGIA,4,0,16.0,33.3,96.7,26.0,8.7,0,0,0,0.0,173,66.5,67.5,76.4,60.0,65.9,79.3,0,7,0.0,0,0,1,42.4,1,29,30,1,3,3,0,7,0,0.3,7.0
Justin Williams,184584,LB,GEORGIA,4,1,5.0,0.0,71.4,,10.0,0,0,0,0.0,173,57.3,70.2,70.6,55.8,82.5,79.8,0,,0.0,0,0,0,39.6,0,10,14,0,0,1,0,0,0,0.0,
Michael Boganowski,184588,S,OKLAHOMA,7,0,20.0,50.0,94.1,31.0,15.5,0,0,0,0.0,261,55.7,59.6,77.1,57.8,66.5,81.4,0,24,,0,0,0,133.3,1,32,34,0,0,2,1,24,11,0.8,24.0
Eli Bowen,184589,CB,OKLAHOMA,11,2,11.8,53.8,97.7,12.0,6.4,0,0,5,12.8,261,78.7,81.9,83.7,59.8,89.4,64.8,1,45,16.7,4,2,0,86.2,21,260,266,8,18,39,3,227,72,0.9,10.8
Wyatt Gilmore,184593,DI,OKLAHOMA,1,0,,,50.0,,,0,0,0,,261,60.0,68.6,67.8,61.9,,,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Jaydan Hardy,184594,S,OKLAHOMA,6,0,12.5,50.0,100.0,32.0,16.0,0,0,1,50.0,261,71.4,71.3,76.5,,65.8,55.3,1,8,50.0,1,1,0,20.8,1,34,34,1,1,2,0,8,0,0.3,8.0
Jayden Jackson,184596,DI,OKLAHOMA,13,0,,,1.1,,,0,0,0,,261,56.8,69.0,62.6,62.7,72.1,48.3,0,,50.0,1,0,1,0.0,0,2,184,2,1,0,0,0,0,0.0,
James Nesta,184600,LB,OKLAHOMA,1,0,5.0,100.0,100.0,4.0,4.0,0,0,0,0.0,261,52.6,57.0,69.1,,62.8,76.7,0,10,0.0,0,0,0,108.3,1,4,4,0,2,1,0,10,5,2.5,10.0
Danny Okoye,184601,ED,OKLAHOMA,2,0,,,25.0,,,0,0,0,,261,60.0,30.8,0.0,66.5,40.5,24.8,0,,,0,0,1,0.0,0,1,4,0,0,0,0,0,0,0.0,
Reggie Powers III,184602,CB,OKLAHOMA,2,0,6.0,0.0,80.0,,11.0,0,0,0,0.0,261,89.9,90.8,74.3,69.4,68.3,73.1,0,,,0,0,0,39.6,0,12,15,0,0,1,0,0,0,0.0,
Keyshawn Jackson,184622,CB,E CAROLINA,2,0,11.0,0.0,93.3,,14.0,0,0,0,0.0,156,55.9,58.7,73.1,58.2,68.9,42.6,0,,100.0,1,0,0,39.6,0,14,15,0,0,1,0,0,0,0.0,
Kevon Merrell,184625,S,E CAROLINA,12,2,8.5,37.5,91.1,16.0,6.0,0,0,0,0.0,156,65.2,66.2,82.8,73.0,62.0,70.5,0,5,0.0,0,0,0,45.8,3,51,56,2,2,8,0,10,6,0.2,3.3
Terhyon Nichols,184635,CB,KENTUCKY,7,0,15.8,52.9,100.0,10.2,5.4,0,1,6,35.3,202,69.1,67.9,81.2,,58.6,44.9,0,44,27.3,3,5,1,109.9,9,97,97,2,8,17,1,180,72,2.0,20.0
Jacob Smith,184639,LB,KENTUCKY,1,0,,,66.7,,,0,0,0,,202,63.0,62.5,75.1,56.9,61.1,,0,,,0,0,0,0.0,0,6,9,0,0,0,0,0,0,0.0,
