player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Tovani Mizell,190444,HB,KENTUCKY,1,42.9,0,202,57.1,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,7,0,3,0,0,3,0
Jonathan Young,184723,T,MEMPHIS,1,100.0,0,218,63.4,,69.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,3,3,0
Peter Jones,184096,G,NOTRE DAME,1,100.0,0,258,60.1,,60.0,0,0,0,,,,0,0,0,3,0,3,0,3,0,0,0,0,3,0
Ja'Len Sims,100987,LB,SO MISS,3,100.0,0,296,60.0,70.1,60.0,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,2,2,0,0,1,0
Jamarion McDougle,184011,WR,BALL ST,4,16.7,0,117,72.7,,60.1,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,18,0,15,0,0,3,0
Ryland Bragg,189785,T,JVILLE ST,1,100.0,0,196,58.2,29.8,59.1,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,1,1,0,3,2,0
Jacob Lecates,157381,C,LIBERTY,1,100.0,0,206,60.1,,60.0,0,0,0,,,,0,0,0,3,0,0,3,3,0,0,0,0,3,0
Jelani Stafford,106431,DI,UCONN,3,100.0,0,146,63.5,60.5,70.3,0,0,1,100.0,100.0,100.0,3,0,0,3,0,0,0,3,1,1,0,0,2,0
Sam Williams,147202,C,S ALABAMA,1,100.0,0,288,60.0,,60.0,0,0,0,,,,0,0,0,3,0,3,0,3,0,0,0,0,3,0
John Wayne Oliver,191195,C,OLE MISS,1,100.0,0,226,60.4,73.4,59.7,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,3,3,1,1,0,0,2,0
Brady Nassar,175760,ED,S DIEGO ST,3,75.0,0,284,53.1,63.8,60.0,0,0,1,100.0,50.0,100.0,0,0,0,3,1,0,0,4,1,2,0,0,2,1
Brison Cobbins,134543,FB,OREGON,1,100.0,0,264,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
CJ Carr,184093,QB,NOTRE DAME,1,75.0,0,258,60.1,,60.0,0,0,0,,,,0,0,0,3,0,0,0,4,0,0,0,0,3,0
Sean Thompkins,174645,T,BAYLOR,1,100.0,0,118,60.0,66.9,60.1,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,3,3,1,1,0,0,2,0
Dominick Kelley,175793,G,CHARLOTTE,1,100.0,0,136,59.4,,59.3,0,0,0,,,,0,0,0,3,0,3,0,3,0,0,0,0,3,0
Max Hurleman,143017,S,NOTRE DAME,3,100.0,0,258,60.0,99.9,,0,0,3,100.0,100.0,100.0,0,0,0,3,0,0,0,3,3,3,0,0,0,0
Dwartney Wortham,158457,WR,UCF,1,50.0,0,323,55.2,,60.2,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,6,0,3,0,0,3,0
Seth Gale,189573,WR,TULANE,1,100.0,0,319,59.7,,59.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Isaiah Chavez,128257,QB,NEW MEXICO,3,60.0,0,241,55.5,62.2,60.0,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,5,1,1,0,0,2,0
Armoni Goodwin,146764,HB,UAB,5,10.3,0,321,80.4,67.5,60.0,0,0,1,7.7,7.7,100.0,0,0,0,3,0,0,0,29,1,13,0,0,2,0
Jer'Marques Bailey,128253,T,NEW MEXICO,3,100.0,0,241,60.0,66.2,60.0,0,0,0,,100.0,,0,0,0,3,0,1,0,3,2,2,0,0,1,2
Torian Kelly,172520,CB,OLE MISS,2,100.0,0,226,60.1,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Yousef Mugharbil,146694,G,NC STATE,1,100.0,0,248,60.5,,60.4,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,3,0,3,0
Chris Johnson,158794,CB,S DIEGO ST,5,60.0,0,284,69.1,88.4,60.0,0,0,2,50.0,50.0,100.0,2,0,0,3,0,0,0,5,2,4,0,0,1,0
Logan Bahn,191331,G,PENN STATE,1,100.0,0,266,54.9,71.8,56.0,0,0,1,100.0,100.0,100.0,0,0,0,3,0,3,0,3,1,1,0,0,2,0
Carlito Capanang Jr.,174009,WR,HAWAII,3,50.0,0,180,57.8,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,6,0,3,0,0,3,0
Troy Lewis,151047,WR,JAMES MAD,1,75.0,0,197,59.0,,59.8,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,0
Hayes Johnson,184633,T,KENTUCKY,1,100.0,0,202,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,3,3,0,0,0,0,3,0
Gus Hawkins,188684,T,KANSAS ST,1,100.0,0,199,59.6,,59.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,3,3,0
Drew Cunningham,193125,G,CHARLOTTE,1,100.0,0,136,59.8,,59.7,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,3,0,3,0
Jacory Croskey-Merritt,102382,HB,ARIZONA,1,12.5,0,109,88.9,77.0,,0,0,3,27.3,27.3,100.0,0,0,0,3,0,0,0,24,3,11,0,0,0,0
