player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Brady Ploucha,158599,G,C MICHIGAN,12,0,134,66.2,100.0,149,42.9,149,72.8,0,100.0,347,347,76.3,100.0,179,51.6,179
Jacarrius Peak,157418,T,NC STATE,13,0,248,65.1,100.0,85,24.5,85,75.7,2,100.0,347,347,79.0,100.0,235,67.7,235
Jack Walsh,150706,G,WYOMING,10,0,351,78.6,100.0,136,39.3,136,71.6,0,100.0,346,346,62.8,100.0,191,55.2,191
LaJuan Owens,169986,T,NEW MEXICO,10,0,241,64.6,100.0,214,61.8,214,60.5,1,100.0,346,346,56.2,100.0,128,37.0,128
Tyler Huff,142567,QB,JVILLE ST,14,1,196,60.0,42.2,68,19.7,161,60.0,1,64.1,346,540,60.0,78.3,275,79.5,351
Heston Edwards,152262,G,COAST CAR,13,0,141,53.7,100.0,125,36.1,125,56.9,0,100.0,346,346,61.9,100.0,190,54.9,190
Brayden Swartout,145732,T,C MICHIGAN,11,0,134,61.7,100.0,154,44.5,154,65.3,3,100.0,346,346,66.5,100.0,172,49.7,172
Rodney Harris II,133616,WR,OHIO,14,0,259,65.5,100.0,199,57.5,199,66.0,0,100.0,346,346,59.8,100.0,116,33.5,116
Rocco Spindler,147478,G,NOTRE DAME,14,0,258,62.9,100.0,151,43.8,151,70.3,0,100.0,345,345,74.6,100.0,162,47.0,162
Spencer Fano,174217,T,UTAH,12,0,328,83.9,100.0,147,42.6,147,93.6,0,100.0,345,345,93.5,100.0,180,52.2,180
Alex Wollschlaeger,130396,T,BOWL GREEN,12,0,122,74.9,100.0,190,55.2,190,72.7,0,100.0,344,344,70.5,100.0,126,36.6,126
Daniel Keys,122104,T,LA TECH,13,0,208,55.6,100.0,166,48.3,166,44.5,0,100.0,344,344,39.9,100.0,143,41.6,143
Austin Blaske,124011,C,N CAROLINA,12,0,245,65.4,100.0,114,33.2,114,65.1,2,100.0,343,343,66.9,100.0,199,58.0,199
Matthew Hibner,129581,TE,SMU,14,0,287,61.5,100.0,115,33.6,115,72.1,0,100.0,342,342,66.4,100.0,202,59.1,202
Jacob Bayer,150349,C,ARK STATE,12,0,113,71.1,100.0,121,35.4,121,81.4,1,100.0,342,342,79.8,100.0,196,57.3,196
Kyle Scott,171888,G,ARIZONA ST,13,0,110,49.9,100.0,183,53.7,183,51.6,0,100.0,341,341,57.3,100.0,135,39.6,135
Taylor Poitier,99437,G,KANSAS ST,13,0,199,66.1,100.0,200,58.7,200,68.0,0,100.0,341,341,68.9,100.0,127,37.2,127
Dylan Fairchild,146716,G,GEORGIA,14,0,173,59.0,100.0,119,35.0,119,71.8,1,100.0,340,340,76.6,100.0,179,52.6,179
Diego Pounds,143976,T,OLE MISS,13,2,226,65.5,100.0,209,61.5,209,61.1,3,100.0,340,340,53.1,100.0,114,33.5,114
Micah Pettus,146812,T,OLE MISS,11,0,226,64.4,100.0,218,64.1,218,72.7,1,100.0,340,340,79.1,100.0,108,31.8,108
Greg Johnson,173406,C,MINNESOTA,13,0,225,62.9,100.0,101,29.8,101,60.7,0,100.0,339,339,62.9,100.0,208,61.4,208
