player_id,player_name,position,school,sg_ol_pass_block_grade,sg_ol_run_block_grade,sg_ol_pbe,sg_ol_pressure_allowed_rate,sg_ol_pressures_allowed,sg_ol_sacks_allowed,sg_ol_hits_allowed,sg_ol_hurries_allowed,sg_ol_versatility_count,source,season,sg_qb_pass_grade,sg_qb_btt_rate,sg_qb_twp_rate,sg_qb_pressure_to_sack_rate,sg_qb_avg_depth_of_target,sg_qb_avg_time_to_throw,sg_qb_qb_rating,sg_qb_pressure_grade,sg_qb_pressure_qb_rating,sg_qb_pressure_twp_rate,sg_qb_pressure_btt_rate,sg_qb_pressure_pressure_to_sack_rate,sg_qb_blitz_grade,sg_qb_blitz_qb_rating,sg_qb_no_screen_grade,sg_qb_no_screen_btt_rate,sg_qb_no_screen_twp_rate,sg_qb_play_action_grade,sg_qb_non_play_action_grade,sg_qb_quick_qb_rating,sg_qb_quick_btt_rate,sg_qb_quick_twp_rate,sg_qb_extended_qb_rating,sg_qb_extended_btt_rate,sg_qb_extended_twp_rate,sg_rb_run_grade,sg_rb_elusive_rating,sg_rb_mtf,sg_rb_yco_attempt,sg_rb_explosive_rate,sg_rb_breakaway_percent,sg_rb_targets_per_route,sg_rb_yprr,sg_rb_total_touches,sg_wrte_route_grade,sg_wrte_yprr,sg_wrte_targets_per_route,sg_wrte_contested_catch_rate,sg_wrte_drop_rate,sg_wrte_slot_rate,sg_wrte_inline_rate,sg_wrte_wide_rate,sg_wrte_avoided_tackles,sg_wrte_man_yprr,sg_wrte_zone_yprr,sg_wrte_man_targets_percent,sg_front_run_def_grade,sg_front_stop_percent,sg_front_missed_tackle_rate,sg_def_coverage_grade,sg_def_run_grade,sg_def_tackle_grade,sg_def_missed_tackle_rate,sg_def_qb_rating_against,sg_def_interceptions,sg_def_pass_break_ups,sg_def_tackles,sg_def_tackles_for_loss,sg_def_total_pressures,sg_dl_pass_rush_grade,sg_dl_pass_rush_win_rate,sg_dl_prp,sg_dl_total_pressures,sg_dl_true_pass_set_win_rate,sg_dl_true_pass_set_prp,sg_dl_true_pass_set_total_pressures,sg_cov_grade,sg_cov_forced_incompletion_rate,sg_cov_snaps_per_target,sg_cov_snaps_per_reception,sg_cov_yards_per_snap,sg_cov_qb_rating_against,sg_cov_catch_rate,sg_cov_man_grade,sg_cov_man_qb_rating_against,sg_cov_man_yards_per_snap,sg_cov_zone_grade,sg_cov_zone_qb_rating_against,sg_cov_zone_yards_per_snap,sg_slot_cov_snaps,sg_slot_cov_snaps_per_target,sg_slot_cov_qb_rating_against,sg_slot_cov_yards_per_snap
131930,Fa'alili Fa'amoe,OT,WAKE,71.2,63.5,97.4,0.04464,20,2,2,16,3,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132046,Kaidon Salter,QB,COLORADO,,60.5,,,0,0,0,0,0,scoutinggrade_advanced_signal_2025,2025,54.0,3.2,4.3,17.0,8.9,3.22,84.1,26.0,24.6,8.6,0.0,17.0,48.5,66.6,54.0,4.0,5.2,65.8,49.1,85.9,0.0,2.7,80.0,6.7,5.5,74.3,33.6,10,3.47,20,15.7,0.0,0.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133825,Dontay Corleone,DT,CINCINNATI,,,,,,,,,,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,3.9,14.3,59.3,80.9,67.8,14.3,0.0,0,0,7,0,8,59.5,5.0,2.5,8,10.5,10.5,4,59.3,,,,0.0,0.0,,59.3,0.0,0.0,,0.0,,,,,
138303,Mark Gronowski,QB,IOWA,,60.0,,,0,0,0,0,0,scoutinggrade_advanced_signal_2025,2025,73.4,2.9,2.5,18.5,7.6,3.08,84.2,32.4,50.8,7.3,1.7,18.5,64.8,86.5,73.3,3.5,2.9,70.4,72.4,94.7,0.7,1.4,73.8,5.1,3.4,79.9,35.4,13,2.85,15,27.6,0.5,2.5,93,88.8,2.5,0.5,,0.0,0.0,0.0,0.0,0,5.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138448,Kaelon Black,RB,INDIANA,51.0,59.0,97.9,0.03704,2,0,0,2,1,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,85.5,58.2,30,3.47,26,40.7,0.0511,0.31,191,54.3,0.31,0.0511,0.0,0.0,2.0,0.0,2.5,2,0.0,0.51,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138455,Mikail Kamara,EDGE,INDIANA,,,,,,,,,,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3,5.9,6.1,46.7,76.3,71.3,8.1,106.7,0,0,18,6,59,75.5,16.7,9.2,59,22.2,13.9,34,46.7,0.0,6.9,7.7,1.4,106.7,90.0,60.1,0.0,0.0,48.1,118.1,1.6,,,,
141775,Andre Fuller,CB,TOLEDO,,,,,,,,,,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8,2.9,0.0,80.0,89.8,75.4,10.9,56.5,1,9,41,2,1,63.5,0.0,10.0,1,0.0,0.0,0,80.0,23.1,6.9,16.4,0.7,56.5,42.3,84.4,57.8,0.7,70.9,53.5,0.7,33,6.6,39.6,0.42
143817,Lewis Bond,WR,BOSTON COL,0.0,56.6,50.0,1.0,1,0,1,0,0,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,26.1,0,1.5,0,0.0,0.2342,2.09,92,77.0,2.09,0.2342,80.0,3.3,62.6,0.0,36.6,16,2.11,2.27,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143827,Quintayvious Hutchins,EDGE,BOSTON COL,,,,,,,,,,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5,6.5,3.8,73.6,71.5,76.6,7.7,91.7,0,0,24,2,25,69.7,12.7,7.5,25,24.3,11.4,15,73.6,0.0,7.5,10.0,0.9,91.7,75.0,57.9,118.8,1.9,78.6,81.3,0.4,2,2.0,39.6,0.0
143866,Jaquez Moore,RB,DUKE,83.7,41.4,95.5,0.09091,1,0,0,1,0,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,73.3,76.7,7,2.88,5,41.3,0.1905,0.98,45,60.3,0.98,0.1905,,16.7,3.6,0.0,1.8,5,0.45,1.33,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
