Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
337,DT,Bobby Jamison-Travis,Auburn,78.2,,,,
338,IOL,Izavion Miller,Auburn,63.7,,,,
339,LB,Jimmy Rolder,Michigan,72.2,,,,
340,WR,Anthony Smith,East Carolina,72.4,,,,
341,IOL,Dillon Wade,Auburn,59.6,,,,
342,IOL,Febechi Nwaiwu,Oklahoma,69.7,,,,
343,LB,Wesley Bissainthe,Miami (FL),64.7,,,,
344,CB,DaShawn Jones,Alabama,64.1,,,,
345,S,Ahmaad Moses,SMU,70.4,,,,
346,RB,Al-Jay Henderson,Buffalo,66.8,,,,
347,WR,Chris Hilton Jr.,LSU,51.6,,,,
348,TE,Bauer Sharp,LSU,47.9,,,,
349,IOL,Mason Randolph,Boise State,70.1,,,,
350,EDGE,Dean Miller,Kansas,70.4,,,,
351,CB,Jaylon Guilbeau,Texas,65.4,,,,
352,DT,Tyler Onyedim,Texas A&M,71.9,,,,
353,S,Gunner Maldonado,Kansas State,65.9,,,,
354,TE,Tanner Arkin,Illinois,68.7,,,,
355,IOL,Garrett DiGiorgio,UCLA,67.2,,,,
356,IOL,Mark Petry,Syracuse,,,,,
357,EDGE,Mo Westmoreland,Tulane,79.2,,,,
358,IOL,Evan Beerntsen,Northwestern,79.3,,,,
359,S,Kendal Daniels,Oklahoma,77.4,,,,
360,S,DQ Smith,South Carolina,68.0,,,,
361,QB,Maverick McIvor,Western Kentucky,73.2,,,,
362,RB,Devin Mockobee,Purdue,73.7,,,,
363,CB,Avery Smith,Toledo,70.6,,,,
364,WR,Devonte Ross,Penn State,70.3,,,,
365,EDGE,Jimmori Robinson,West Virginia,51.3,,,,
366,LB,Karson Sharar,Iowa,76.1,,,,
367,TE,Rohan Jones,Arkansas,90.3,,,,
368,OT,Tristan Leigh,Clemson,49.5,,,,
369,IOL,Matt Gulbin,Michigan State,82.6,,,,
370,IOL,Daniel King,North Carolina,66.3,,,,
371,WR,Barion Brown,LSU,68.5,,,,
372,WR,Donaven McCulley,Michigan,66.6,,,,
373,EDGE,Marvin Jones Jr.,Oklahoma,58.2,,,,
374,OT,Enrique Cruz Jr.,Kansas,70.3,,,,
375,CB,Marcus Allen,North Carolina,64.1,,,,
376,DT,David Gusta,Kentucky,76.3,,,,
377,S,JJ Johnson,North Carolina State,56.4,,,,
378,TE,Will Kacmarek,Ohio State,77.5,,,,
379,RB,Roydell Williams,Florida State,64.9,,,,
380,OT,Chris Adams,Memphis,67.4,,,,
381,IOL,Weylin Lapuaho,BYU,62.6,,,,
382,RB,Kentrel Bullock,South Alabama,90.3,,,,
383,S,Dalton Johnson,Arizona,84.8,,,,
384,S,Shyheim Brown,Florida State,56.6,,,,
385,RB,Anthony Hankerson,Oregon State,73.7,,,,
386,WR,Malik Rutherford,Georgia Tech,77.7,,,,
387,TE,Matthew Hibner,SMU,62.6,,,,
388,OT,Trevor Brock,Buffalo,74.6,,,,
389,IOL,Kam Dewberry,Alabama,71.2,,,,
390,LB,Wade Woodaz,Clemson,70.8,,,,
391,S,Phillip Dunnam,UCF,75.3,,,,
392,QB,Blake Shapen,Mississippi State,68.5,,,,
393,OT,Carver Willis,Washington,79.9,,,,
394,RB,Angel Johnson,Washington State,66.3,,,,
395,WR,Kobe Prentice,Baylor,72.3,,,,
396,TE,Amari Niblack,Texas A&M,54.6,,,,
397,IOL,Anez Cooper,Miami (FL),68.7,,,,
398,TE,Khalil Dinkins,Penn State,56.2,,,,
399,IOL,J'Onre Reed,USC,60.1,,,,
400,EDGE,Ethan Burke,Texas,83.6,,,,
401,CB,Collin Wright,Stanford,74.9,,,,
402,RB,Davon Booth,Mississippi State,76.3,,,,
403,WR,Jalen Walthall,Incarnate Word,76.8,,,,
404,TE,Ethan Conner,Troy,60.6,,,,
405,OT,Mason Murphy,Auburn,65.8,,,,
406,IOL,Nick Dawkins,Penn State,70.3,,,,
