Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"233","LB","Xavian Sorey Jr.","Arkansas Razorbacks","50.2","-0.087","","","Not Scored"
"234","QB","Tommy Castellanos","Florida State Seminoles","85.7","0.629","","","Not Scored"
"235","CB","Josh Moten","Southern Miss Golden Eagles","80.1","0.161","","","Not Scored"
"236","G","Joshua Braun","Kentucky Wildcats","62.5","0.029","","","Not Scored"
"237","ED","Patrick Payton","LSU Tigers","69.0","0.021","","","Not Scored"
"238","S","Jalen Catalon","Missouri Tigers","74.0","0.074","","","Not Scored"
"239","QB","Miller Moss","Louisville Cardinals","68.2","-0.389","","","Not Scored"
"240","QB","Diego Pavia","Vanderbilt Commodores","92.2","1.116","","","Not Scored"
"241","T","Elijah Pritchett","Nebraska Cornhuskers","68.5","0.027","","","Not Scored"
"242","TE","Seydou Traore","Mississippi State Bulldogs","59.9","0.085","","","Not Scored"
"243","CB","Raion Strader","Auburn Tigers","62.7","0.004","","","Not Scored"
"244","CB","Tyreek Chappell","Texas A&M Aggies","63.2","-0.016","","","Not Scored"
"245","ED","Eric O'Neill","Rutgers Scarlet Knights","74.4","0.063","","","Not Scored"
"246","ED","Logan Fano","Utah Utes","78.7","0.094","","","Not Scored"
"247","TE","Riley Nowakowski","Indiana Hoosiers","78.8","0.261","","","Not Scored"
"248","WR","Trebor Pena","Penn State Nittany Lions","75.0","0.068","","","Not Scored"
"249","G","Micah Morris","Georgia Bulldogs","72.0","0.095","","","Not Scored"
"250","LB","Lander Barton","Utah Utes","61.6","-0.049","","","Not Scored"
"251","S","Peyton Bowen","Oklahoma Sooners","78.2","0.184","","","Not Scored"
"252","QB","Jake Retzlaff","Tulane Green Wave","81.6","0.367","","","Not Scored"
"253","C","Connor Tollison","Missouri Tigers","62.7","-0.043","","","Not Scored"
"254","WR","Dillon Bell","Georgia Bulldogs","57.7","-0.086","","","Not Scored"
"255","HB","Chip Trayanum","Toledo Rockets","76.7","0.000","","","Not Scored"
"256","CB","Jerry Wilson","Florida State Seminoles","70.9","-0.035","","","Not Scored"
"257","TE","Jaren Kanak","Oklahoma Sooners","63.9","0.057","","","Not Scored"
"258","ED","Mason Reiger","Wisconsin Badgers","82.3","0.176","","","Not Scored"
"259","HB","Jamal Haynes","Georgia Tech Yellow Jackets","66.1","-0.111","","","Not Scored"
"260","QB","Joe Fagnano","Connecticut Huskies","87.0","0.426","","","Not Scored"
"261","ED","Keyshawn James-Newby","New Mexico Lobos","89.0","0.202","","","Not Scored"
"262","QB","Kyron Drones","Virginia Tech Hokies","69.9","-0.157","","","Not Scored"
"263","QB","Athan Kaliakmanis","Rutgers Scarlet Knights","88.8","0.861","","","Not Scored"
"264","S","VJ Payne","Kansas State Wildcats","73.3","0.146","","","Not Scored"
"265","HB","Jam Miller","Alabama Crimson Tide","66.2","-0.111","","","Not Scored"
"266","G","Tomas Rimac","Virginia Tech Hokies","59.3","-0.024","","","Not Scored"
"267","T","Riley Mahlman","Wisconsin Badgers","62.9","0.013","","","Not Scored"
"268","CB","Daniel Harris","Georgia Bulldogs","57.1","-0.050","","","Not Scored"
"269","TE","RJ Maryland","SMU Mustangs","62.4","0.027","","","Not Scored"
"270","G","Caden Barnett","Wyoming Cowboys","71.3","0.004","","","Not Scored"
"271","DI","Keeshawn Silver","USC Trojans","56.4","-0.080","","","Not Scored"
"272","LB","Eric Gentry","USC Trojans","71.3","0.103","","","Not Scored"
"273","TE","Carsen Ryan","BYU Cougars","82.5","0.292","","","Not Scored"
"274","S","Xavier Nwankpa","Iowa Hawkeyes","71.0","0.087","","","Not Scored"
"275","C","Bryce Foster","Kansas Jayhawks","69.0","0.070","","","Not Scored"
"276","ED","Ben Bell","Virginia Tech Hokies","70.1","0.068","","","Not Scored"
"277","HB","Noah Whittington","Oregon Ducks","83.6","0.044","","","Not Scored"
"278","G","Davion Carter","Texas Tech Red Raiders","70.8","0.099","","","Not Scored"
"279","TE","Jack Velling","Michigan State Spartans","62.9","0.020","","","Not Scored"
"280","DI","Brandon Cleveland","North Carolina State Wolfpack","72.1","0.055","","","Not Scored"
"281","HB","Dean Connors","Houston Cougars","76.6","0.027","","","Not Scored"
"282","C","Luke Petitbon","Florida State Seminoles","71.9","0.065","","","Not Scored"
"283","QB","Behren Morton","Texas Tech Red Raiders","72.0","-0.006","","","Not Scored"
"284","WR","Squirrel White","Florida State Seminoles","51.0","-0.058","","","Not Scored"
"285","T","Micah Pettus","Florida State Seminoles","72.6","0.036","","","Not Scored"
"286","G","Jeremiah Wright","Auburn Tigers","68.2","0.048","","","Not Scored"
"287","DI","Gary Smith III","UCLA Bruins","75.4","0.106","","","Not Scored"
"288","WR","Hank Beatty","Illinois Fighting Illini","82.4","0.268","","","Not Scored"
"289","CB","Treydan Stukes","Arizona Wildcats","90.1","0.274","","","Not Scored"
"290","S","Austin Brown","Wisconsin Badgers","51.3","-0.101","","","Not Scored"
"291","HB","Mel Brown","Connecticut Huskies","71.4","0.004","","","Not Scored"
"292","WR","Harrison Wallace III","Mississippi Rebels","73.1","0.217","","","Not Scored"
"293","DI","Landon Robinson","Navy Midshipmen","78.2","0.074","","","Not Scored"
"294","T","Jeff Persi","Pittsburgh Panthers","46.4","-0.055","","","Not Scored"
"295","G","Fernando Carmona","Arkansas Razorbacks","71.3","0.090","","","Not Scored"
"296","DI","Cameron Ball","Arkansas Razorbacks","70.6","0.005","","","Not Scored"
"297","HB","Adam Randall","Clemson Tigers","72.5","-0.046","","","Not Scored"
"298","LB","Scooby Williams","Texas A&M Aggies","78.9","0.048","","","Not Scored"
"299","S","Nikai Martinez","Michigan State Spartans","61.6","0.000","","","Not Scored"
"300","HB","CJ Donaldson","Ohio State Buckeyes","73.2","0.059","","","Not Scored"
"301","TE","Jeremiah Franklin","Boston College Eagles","65.5","-0.001","","","Not Scored"
"302","T","Diego Pounds","Mississippi Rebels","62.4","-0.019","","","Not Scored"
"303","G","Josh Thompson","LSU Tigers","64.1","-0.017","","","Not Scored"
"304","ED","Jack Pyburn","LSU Tigers","72.9","0.061","","","Not Scored"
"305","CB","Stephen Hall","Missouri Tigers","51.9","-0.172","","","Not Scored"
"306","S","Jalen Huskey","Maryland Terrapins","83.6","0.154","","","Not Scored"
"307","WR","Caullin Lacy","Louisville Cardinals","66.7","0.059","","","Not Scored"
"308","QB","Grayson James","Boston College Eagles","60.6","-0.108","","","Not Scored"
"309","HB","Logan Diggs","Mississippi Rebels","70.1","0.051","","","Not Scored"
"310","LB","Jaden Dugger","Louisiana Ragin' Cajuns","63.5","-0.121","","","Not Scored"
"311","C","Jaren Kump","Utah Utes","66.3","0.036","","","Not Scored"
"312","ED","Jackie Marshall","Baylor Bears","55.7","-0.099","","","Not Scored"
