player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Caleb LaVallee,175399,LB,N CAROLINA,10,49,0,245,0,8.0,50.0,81.0,17.0,8.5,0,1,50.0,57.2,0,32,,0,1,95.8,1,17,34.7,21,0,0,2,0,32,23,1.9,32.0,0,1,1.2,100.0,96.8,5.6,5.6,0,0,0.0,51.5,0,28,50.0,3,0,158.3,5,30,61.2,31,2,2,5,1,65,59,2.3,13.0
Tre Miller,175403,S,N CAROLINA,9,50,0,245,1,24.2,50.0,100.0,8.0,4.0,0,1,16.7,58.8,0,42,0.0,0,0,129.2,3,25,50.0,25,1,3,6,1,66,7,2.8,22.0,0,1,4.0,100.0,100.0,12.0,12.0,0,0,0.0,61.8,0,9,0.0,0,0,91.7,2,25,50.0,25,0,2,2,0,12,4,0.5,6.0
Jesse Anderson,175406,S,PITTSBURGH,3,20,0,268,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,1,11.0,100.0,100.0,18.0,18.0,0,0,0.0,65.0,0,12,0.0,0,0,116.7,1,19,95.0,19,1,1,1,0,12,1,0.7,12.0
Jordan Bass,175407,LB,PITTSBURGH,7,49,0,268,1,12.0,50.0,80.0,4.0,2.0,0,1,50.0,66.3,0,21,0.0,0,1,87.5,1,4,8.2,5,0,0,2,0,21,10,5.3,21.0,0,1,-1.0,87.5,72.2,5.4,4.8,0,0,0.0,60.3,0,14,33.3,2,0,82.8,7,39,79.6,54,2,3,8,0,31,46,0.8,4.4
Rasheem Biles,175408,LB,PITTSBURGH,12,218,0,268,1,2.8,50.0,61.9,12.5,6.3,1,2,50.0,79.1,0,15,0.0,0,2,63.5,2,26,11.9,42,0,1,4,0,19,20,0.8,9.5,0,2,2.8,65.0,69.1,11.2,7.3,0,2,10.0,73.9,1,25,0.0,0,2,72.3,13,152,69.7,220,8,9,20,1,97,94,0.7,7.5
Cruce Brookins,175409,S,PITTSBURGH,12,187,0,268,0,8.5,100.0,89.3,5.5,5.5,0,0,0.0,51.0,0,27,0.0,0,0,118.8,4,25,13.4,28,0,3,4,0,55,21,2.5,13.8,0,3,10.1,69.2,93.5,13.6,9.4,1,0,0.0,58.5,2,80,4.5,1,0,95.2,9,130,69.5,139,4,18,13,1,154,76,1.3,17.1
Shadarian Harrison,175416,CB,PITTSBURGH,1,5,0,268,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,28.0,0.0,100.0,,4.0,0,1,100.0,70.4,0,,,0,0,39.6,0,5,100.0,5,0,0,1,0,0,0,0.0,
Zach Zollers,175425,ED,PITTSBURGH,2,1,0,268,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,10.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,10,0,0,0,0,0,0,0.0,
Landon Danley,175431,LB,VIRGINIA,5,42,0,335,0,17.0,50.0,64.7,11.0,5.5,0,1,50.0,51.2,0,17,100.0,1,1,79.2,1,11,26.2,17,0,0,2,0,17,11,1.5,17.0,0,1,14.3,66.7,96.8,14.5,9.7,0,0,0.0,45.8,0,25,50.0,1,0,103.5,2,30,71.4,31,0,0,3,0,33,5,1.1,16.5
Caleb Hardy,175435,S,VIRGINIA,8,86,0,335,0,10.0,50.0,100.0,32.0,16.0,0,0,0.0,46.2,0,2,100.0,2,0,95.8,1,35,40.7,35,1,0,2,1,2,0,0.1,2.0,0,0,,,100.0,,,0,0,,54.7,0,,0.0,0,0,0.0,0,42,48.8,42,1,2,0,0,0,0,0.0,
