player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Mike DeNucci,143132,LB,LEHIGH,9,18,18.0,9.0,205,0,58.3,1,2,0,7,6,0.39
Malik Muhammad,173165,CB,TEXAS,8,18,18.0,6.0,311,0,70.1,1,3,0,29,5,1.61
Mike Smith Jr.,122255,S,E KENTUCKY,12,108,18.0,7.2,159,0,78.8,6,15,1,76,59,0.7
Tao Johnson,158490,S,UTAH,10,18,18.0,6.0,328,0,42.4,1,3,0,1,0,0.06
Eugene Asante,99748,LB,AUBURN,11,36,18.0,9.0,115,0,62.5,2,4,0,18,14,0.5
Randy Jordan,97138,CB,HAMPTON,7,36,18.0,7.2,178,0,47.9,2,5,0,3,4,0.08
Braden Sullivan,185623,LB,E KENTUCKY,10,36,18.0,18.0,159,0,112.5,2,2,0,22,1,0.61
Brandt Babin,149917,S,FURMAN,4,36,18.0,18.0,170,0,141.7,2,2,1,17,2,0.47
Que Billingsley,173777,S,KENNESAW,7,18,18.0,6.0,200,0,42.4,1,3,0,2,5,0.11
Zayveon Wells,177968,S,W CAROLINA,6,18,18.0,9.0,344,0,62.5,1,2,0,9,5,0.5
Luke Mitchell,165253,S,DAYTON,10,36,18.0,9.0,150,0,56.3,2,4,0,2,10,0.06
Patrick Smith-Young,156616,S,DOMINION,8,18,18.0,18.0,263,0,104.2,1,1,0,9,14,0.5
Mychal Yharbrough,171297,CB,MIAMI OH,4,18,18.0,9.0,221,0,68.8,1,2,0,12,10,0.67
Joshua Hong,91547,S,SAN DIEGO,7,71,17.8,7.1,283,0,55.8,4,10,0,49,13,0.69
Javion White,189589,S,TULANE,11,89,17.8,7.4,319,1,23.6,5,12,0,62,30,0.7
Terrence Jones II,191868,CB,FORDHAM,10,53,17.7,13.3,168,0,116.7,3,4,0,53,3,1.0
