player_name,school,position,season,years_played,years_played_seasons,years_played_source,qb_qbr,qb_epa_per_play,qb_success_rate,qb_pressure_to_sack_rate,qb_under_pressure_epa,qb_under_pressure_success_rate,yprr,target_share,targets_per_route_run,explosive_run_rate,missed_tackles_forced_per_touch,pressure_rate,pressures_per_pass_rush_snap,sacks_per_pass_rush_snap,coverage_plays_per_target,yards_allowed_per_coverage_snap,opp_def_ppa_allowed_avg,opp_def_success_rate_allowed_avg,opp_def_toughness_index,opp_def_adjustment_multiplier,opp_def_context_source,cfb_prod_quality_label,cfb_prod_reliability,cfb_prod_real_features,cfb_prod_proxy_features,cfb_prod_provenance,source
Stephen Hall,Missouri,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2541,0.9793,0.1499,0.4069,0.5177,1.0035,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Tacario Davis,Washington,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2828,0.836,0.1623,0.4351,0.2352,0.947,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Takye Heath,Virginia Tech,CB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,,,,,,,,,,,,,,,,,0.1072,0.3932,0.8277,1.0655,cfbd_team_advanced_stats+advanced_game_stats,missing,0.0,0,0,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Thaddeus Dixon,North Carolina,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2828,0.836,0.1545,0.4158,0.4033,0.9807,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Tj Hall,Iowa,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2973,0.7637,0.1552,0.4242,0.3258,0.9652,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Treydan Stukes,Arizona,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2964,0.7681,0.154,0.4149,0.4159,0.9832,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Treyveon Mcgee,Charlotte,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2106,1.1971,0.1521,0.4147,0.4271,0.9854,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Tyreek Chappell,Texas A&M,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2654,0.9232,0.1206,0.401,0.7225,1.0445,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Will Lee Iii,Texas A&M,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2884,0.808,0.1206,0.401,0.7225,1.0445,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Xavier Scott,Illinois,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2379,1.0605,0.1379,0.4202,0.474,0.9948,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Anthony Lucas,USC,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2342,0.2342,0.0703,,,0.1686,0.4328,0.2201,0.944,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Cashius Howell,Texas A&M,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2457,0.2457,0.075,,,0.1206,0.401,0.7225,1.0445,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Dani Dennis-Sutton,Penn State,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2444,0.2444,0.075,,,0.142,0.4173,0.4668,0.9934,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Darris Smith,Missouri,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2453,0.2453,0.075,,,0.1499,0.4069,0.5177,1.0035,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Dean Miller,Kansas,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2051,0.2051,0.041,,,0.1011,0.3904,0.8524,1.0705,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Derrick Moore,Michigan,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2402,0.2402,0.075,,,0.1239,0.4147,0.59,1.018,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Jack Pyburn,LSU,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2145,0.2145,0.0715,,,0.1098,0.3855,0.8437,1.0687,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
