player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Logan Muckey,124972,WR,MISSOURI,1,0,,0,0,229,60.0,63.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Jaylin Noel,125155,WR,IOWA STATE,1,0,,1,0,193,,60.0,60.0,,60.0,,,0,2,1,1,0.0,0,0
Micah Davis,125264,WR,OLE MISS,1,0,,0,0,226,60.0,62.9,60.0,,60.0,,,0,0,1,1,0.0,0,0
Camby Goff,125268,S,AIR FORCE,11,13,6.5,0,1,101,62.3,72.1,88.8,60.3,83.6,80.3,7.4,4,0,292,296,7.5,22,37
Michael Mack II,125273,CB,OHIO,11,0,0.0,0,0,259,67.2,66.1,82.5,57.1,57.9,65.8,0.0,0,0,114,116,1.8,2,2
Courtney Eubanks,125287,CB,COAST CAR,13,8,5.3,0,1,141,56.7,59.2,1.3,60.0,74.2,66.8,9.1,2,3,261,263,2.3,6,12
Marques Sigle,125305,S,KANSAS ST,13,10,5.2,1,0,199,68.3,72.4,55.8,58.3,85.2,66.2,15.9,7,1,302,309,6.0,18,27
Demerick Morris,125335,DI,TEMPLE,11,4,3.1,0,0,306,62.2,59.8,83.4,58.8,57.8,48.7,17.6,3,0,180,180,3.3,6,10
Darian Varner,125344,ED,CINCINNATI,12,6,2.3,0,0,138,59.9,57.8,83.1,53.6,62.2,41.4,6.3,1,0,126,129,4.8,6,9
Kobe Wilson,125348,LB,SMU,14,20,3.4,0,1,287,67.8,71.0,0.0,64.9,77.7,78.1,8.5,6,4,283,288,10.2,29,45
D.J. Woodbury,125349,LB,TEMPLE,12,20,3.1,1,0,306,55.2,68.3,29.9,76.1,75.4,78.5,8.3,7,2,363,367,11.8,43,57
Marco Baker,125351,CB,JVILLE ST,11,3,9.3,0,0,196,69.0,66.9,79.8,,57.6,55.3,25.0,2,1,93,94,0.0,0,3
J-Rock Swain,125377,ED,JVILLE ST,14,17,1.0,1,2,196,62.5,73.7,34.0,65.3,78.2,43.5,15.1,8,4,352,356,6.3,22,28
Donovan Nevils,125726,ED,MEMPHIS,1,0,,0,0,218,,60.4,65.6,,60.0,,,0,0,1,1,0.0,0,0
DeVonta Owens,125971,CB,TEMPLE,2,0,10.0,0,0,306,65.4,68.1,73.0,,68.4,78.2,0.0,0,0,13,14,0.0,0,1
Dylan Hasz,126029,CB,ARKANSAS,2,0,,0,0,111,,53.1,61.5,,60.0,24.6,100.0,1,0,2,2,0.0,0,0
James Stewart,126263,ED,MIDDLE TN,12,3,1.4,0,1,224,54.6,72.1,63.8,63.9,77.7,78.6,6.7,2,1,182,185,11.5,21,25
Maurion Horn,126328,CB,TEXAS TECH,13,10,8.9,0,0,315,66.8,67.7,1.1,71.2,76.3,67.1,12.0,3,5,316,320,1.6,5,12
Langston Patterson,126465,LB,VANDERBILT,11,17,2.7,0,0,333,50.7,62.4,21.9,64.2,72.0,60.6,14.7,10,2,278,286,9.7,27,41
Cade Law,126476,LB,N CAROLINA,3,0,,0,0,245,,74.2,70.8,72.4,64.6,73.2,,0,0,9,9,0.0,0,0
Tyler Gant,126535,DI,NWESTERN,9,1,4.7,0,0,256,60.0,38.7,79.7,63.2,28.0,75.9,0.0,0,0,64,64,4.7,3,3
Justin Weaver,126597,CB,ARMY,13,1,14.3,0,0,114,81.5,78.7,24.4,57.7,65.3,71.6,20.0,2,1,141,143,0.7,1,7
Avyonne Jones,127249,S,COAST CAR,8,3,10.1,0,0,141,49.5,54.4,78.5,56.5,66.2,75.8,0.0,0,0,40,40,5.0,2,7
Devin Robinson,127648,S,TULSA,9,4,5.6,0,0,320,64.0,63.6,85.1,63.1,59.9,49.0,30.8,4,0,124,127,1.6,2,5
Kahzir Brown,127825,CB,FAU,12,1,11.1,0,0,165,81.7,76.7,85.0,49.7,59.0,70.3,16.7,4,3,306,310,2.6,8,19
JK Johnson,128013,CB,LSU,4,0,,1,0,211,51.1,52.6,79.3,58.3,65.2,81.1,,0,3,37,39,0.0,0,0
Kaleb Purdy,128032,S,KANSAS,4,1,,0,0,198,52.3,51.8,76.8,59.5,53.4,56.6,50.0,1,1,17,18,0.0,0,0
Christian Gray,128036,CB,NOTRE DAME,15,2,2.6,0,0,258,61.5,64.2,87.1,58.7,73.7,58.3,9.1,1,6,364,369,1.4,5,8
Viczaril Alobwede,128071,ED,MEMPHIS,13,0,2.8,0,0,218,61.1,54.5,81.4,56.2,52.3,78.3,0.0,0,0,82,82,4.9,4,5
Aaron Beckwith,128074,DI,UMASS,8,3,2.4,0,0,216,60.0,46.5,24.7,58.5,44.3,29.0,23.1,3,2,154,157,3.2,5,7
Gerrell Johnson,128085,LB,UMASS,12,9,5.1,0,0,216,67.5,67.3,0.0,57.7,73.9,78.8,4.4,2,5,234,242,6.8,16,34
Nahji Logan,128090,LB,INDIANA,3,0,,0,0,190,64.1,60.2,77.3,46.8,62.8,37.4,,0,0,12,12,0.0,0,0
Te'Rai Powell,128102,S,UMASS,12,9,9.9,0,0,216,53.4,57.0,86.7,46.7,63.9,78.4,6.5,2,0,288,294,2.4,7,20
Myles Turner,128105,LB,UMASS,10,8,0.8,0,0,216,67.5,55.7,79.5,52.2,48.9,78.9,0.0,0,1,85,86,4.7,4,5
Latrell Caples,128119,WR,BOISE ST,1,0,,1,0,120,,60.0,60.0,,60.0,,,0,3,1,1,0.0,0,0
Herbert Gums,128130,DI,BOISE ST,14,6,1.9,0,0,120,57.3,69.5,86.0,57.9,78.4,73.4,0.0,0,0,183,189,4.9,9,12
Gabe Hunter,128132,ED,BOISE ST,2,0,,0,0,120,,60.5,73.6,59.1,60.6,,,0,0,7,7,0.0,0,0
