player_uid,player_name,position,school,sim_drafted_count,sim_drafted_rate,median_pick,mean_pick,pick_variance,pick_std_dev,best_pick,worst_pick,round1_rate,top50_rate,most_common_team,most_common_team_share,representative_class_distance,simulations,softmax_temperature
409-chase-roberts,Chase Roberts,WR,BYU Cougars,378,0.378,237.0,236.15,129.528,11.381,217,257,0.0,0.0,MIN,0.0979,20.741,1000,0.13
466-tommy-castellanos,Tommy Castellanos,QB,Florida State Seminoles,366,0.366,237.0,238.41,103.274,10.162,223,257,0.0,0.0,PIT,0.1421,20.741,1000,0.13
125-jaeden-roberts,Jaeden Roberts,IOL,Alabama,364,0.364,238.0,239.89,85.842,9.265,225,257,0.0,0.0,MIN,0.1538,20.741,1000,0.13
586-michael-wortham,Michael Wortham,WR,Montana,330,0.33,238.0,238.02,99.833,9.992,222,257,0.0,0.0,MIN,0.0848,20.741,1000,0.13
456-eli-heidenreich,Eli Heidenreich,RB,Navy Midshipmen,436,0.436,238.5,239.88,78.321,8.85,227,257,0.0,0.0,MIN,0.156,20.741,1000,0.13
608-john-mateer,John Mateer,QB,Oklahoma,331,0.331,240.0,239.76,92.559,9.621,226,257,0.0,0.0,BAL,0.0937,20.741,1000,0.13
425-brenen-thompson,Brenen Thompson,WR,Mississippi State Bulldogs,329,0.329,240.0,239.78,89.804,9.477,224,257,0.0,0.0,DEN,0.1277,20.741,1000,0.13
427-robert-spears-jennings,Robert Spears-Jennings,S,Oklahoma Sooners,417,0.417,242.0,242.85,57.295,7.569,230,257,0.0,0.0,MIN,0.1727,20.741,1000,0.13
480-lander-barton,Lander Barton,LB,Utah Utes,373,0.373,242.0,243.09,68.089,8.252,231,257,0.0,0.0,MIN,0.1743,20.741,1000,0.13
576-cole-payton,Cole Payton,QB,North Dakota State,296,0.296,242.0,241.73,75.832,8.708,228,257,0.0,0.0,GB,0.1453,20.741,1000,0.13
407-quintayvious-hutchins,Quintayvious Hutchins,EDGE,Boston College Eagles,341,0.341,243.0,243.71,59.327,7.702,232,257,0.0,0.0,LAR,0.173,20.741,1000,0.13
461-kaelon-black,Kaelon Black,RB,Indiana Hoosiers,330,0.33,243.0,244.03,48.226,6.945,233,257,0.0,0.0,MIN,0.1909,20.741,1000,0.13
553-ryan-baer,Ryan Baer,OT,Pittsburgh Panthers,541,0.541,244.0,244.43,47.739,6.909,234,257,0.0,0.0,MIN,0.2126,20.741,1000,0.13
290-holden-staes,Holden Staes,TE,Tennessee,435,0.435,245.0,243.49,64.006,8.0,229,257,0.0,0.0,DEN,0.1793,20.741,1000,0.13
538-tre-smith,Tre Smith,EDGE,Arizona Wildcats,315,0.315,245.0,245.86,44.038,6.636,236,257,0.0,0.0,GB,0.1651,20.741,1000,0.13
417-logan-jones,Logan Jones,IOL,Iowa Hawkeyes,241,0.241,245.0,245.88,33.636,5.8,237,257,0.0,0.0,DEN,0.1369,20.741,1000,0.13
450-reggie-virgil,Reggie Virgil,WR,Texas Tech Red Raiders,237,0.237,246.0,245.45,39.176,6.259,235,257,0.0,0.0,MIN,0.1688,20.741,1000,0.13
432-robert-henry-jr.,Robert Henry Jr.,RB,UTSA Roadrunners,279,0.279,247.0,247.14,33.953,5.827,238,257,0.0,0.0,BAL,0.1219,20.741,1000,0.13
82-barion-brown,Barion Brown,WR,LSU,199,0.199,247.0,247.09,23.057,4.802,239,257,0.0,0.0,DEN,0.1608,20.741,1000,0.13
596-kendal-daniels,Kendal Daniels,LB,Oklahoma,255,0.255,248.0,248.82,23.097,4.806,241,257,0.0,0.0,DEN,0.2078,20.741,1000,0.13
561-mo-westmoreland,Mo Westmoreland,EDGE,Tulane Green Wave,245,0.245,249.0,248.5,24.511,4.951,240,257,0.0,0.0,DEN,0.151,20.741,1000,0.13
630-emmanuel-henderson-jr.,Emmanuel Henderson Jr.,WR,Kansas,152,0.152,249.0,249.72,16.677,4.084,244,257,0.0,0.0,DEN,0.25,20.741,1000,0.13
626-jahiem-lawson,Jahiem Lawson,EDGE,Clemson,209,0.209,250.0,250.39,19.06,4.366,243,257,0.0,0.0,DEN,0.1962,20.741,1000,0.13
591-dante-moore,Dante Moore,QB,Oregon,169,0.169,250.0,250.51,13.232,3.638,245,257,0.0,0.0,BAL,0.1834,20.741,1000,0.13
441-vincent-anthony-jr.,Vincent Anthony Jr.,EDGE,Duke Blue Devils,206,0.206,250.5,250.35,21.433,4.63,242,257,0.0,0.0,GB,0.1893,20.741,1000,0.13
386-eric-rivers,Eric Rivers,WR,Georgia Tech Yellow Jackets,125,0.125,251.0,251.17,10.716,3.273,246,257,0.0,0.0,DEN,0.328,20.741,1000,0.13
616-jalen-mcmurray,Jalen McMurray,S,Tennessee,167,0.167,252.0,251.84,10.599,3.256,247,257,0.0,0.0,LAR,0.2216,20.741,1000,0.13
497-daniel-harris,Daniel Harris,CB,Georgia Bulldogs,186,0.186,253.0,252.83,7.698,2.775,248,257,0.0,0.0,LAR,0.2796,20.741,1000,0.13
555-dean-miller,Dean Miller,EDGE,Kansas Jayhawks,142,0.142,253.0,252.89,6.114,2.473,249,257,0.0,0.0,GB,0.2887,20.741,1000,0.13
128-parker-brailsford,Parker Brailsford,IOL,Alabama,104,0.104,253.0,253.24,4.721,2.173,250,257,0.0,0.0,DEN,0.3462,20.741,1000,0.13
452-fa'alili-fa'amoe,Fa'alili Fa'amoe,OT,Wake Forest Demon Deacons,225,0.225,254.0,253.69,3.83,1.957,251,257,0.0,0.0,DEN,0.2667,20.741,1000,0.13
603-josh-hoover,Josh Hoover,QB,TCU,69,0.069,254.0,254.26,3.033,1.742,252,257,0.0,0.0,GB,0.4203,20.741,1000,0.13
421-jeff-caldwell,Jeff Caldwell,WR,Cincinnati Bearcats,45,0.045,255.0,254.8,2.249,1.5,253,257,0.0,0.0,IND,0.3111,20.741,1000,0.13
524-nikai-martinez,Nikai Martinez,S,Michigan State Spartans,50,0.05,255.5,255.46,1.128,1.062,254,257,0.0,0.0,GB,0.44,20.741,1000,0.13
569-jimmori-robinson,Jimmori Robinson,EDGE,West Virginia Mountaineers,53,0.053,256.0,256.0,0.679,0.824,255,257,0.0,0.0,DEN,0.3396,20.741,1000,0.13
434-tj-guy,TJ Guy,EDGE,Michigan Wolverines,45,0.045,257.0,256.69,0.214,0.463,256,257,0.0,0.0,GB,0.6889,20.741,1000,0.13
494-jam-miller,Jam Miller,RB,Alabama Crimson Tide,14,0.014,257.0,257.0,0.0,0.0,257,257,0.0,0.0,GB,1.0,20.741,1000,0.13
