consensus_rank,player_name,position,school,final_grade,round_value,consensus_board_mean_rank,consensus_board_rank_std,consensus_board_source_count,formula_score,formula_trait_component,formula_production_component,formula_athletic_component,formula_size_component,formula_context_component,formula_risk_penalty,formula_guardrail_penalty,formula_drift_penalty,formula_hard_cap_penalty,language_adjustment_applied,best_team_fit,variance_flag
329,Mel Brown,RB,Connecticut Huskies,70.48,Round 6-7,291.0,0.0,1,74.51,60.0,66.26,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,DAL,high_variance
330,Donavon Greene,WR,Virginia Tech Hokies,70.48,Round 6-7,316.0,0.0,1,74.51,60.0,63.0,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,CLE,high_variance
331,Chris Hilton Jr.,WR,LSU Tigers,70.48,Round 6-7,326.0,0.0,1,74.51,60.0,63.0,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,CLE,high_variance
332,Dane Key,WR,Georgia,70.44,Round 6-7,215.0,24.0,2,76.52,60.0,63.0,70.0,89.65,79.5,1.01,3.17,0.0,0.0,0.0,CLE,high_variance
333,Trey Zuhn III,IOL,Texas A&M,70.37,Round 6-7,159.67,8.22,3,75.94,51.75,66.94,70.0,90.0,79.5,1.01,3.3,0.72,0.0,-0.0963,DET,medium_variance
334,Miller Moss,QB,Louisville,70.36,Round 6-7,335.0,96.0,2,73.52,58.0,64.0,68.0,87.3,79.0,2.85,1.76,1.4,0.0,0.0,LV,high_variance
335,Stephen Hall,CB,Missouri Tigers,70.35,Round 6-7,305.0,0.0,1,74.38,60.0,63.0,70.0,90.0,79.5,1.26,4.03,0.0,0.0,0.0,JAX,high_variance
336,Amari Jackson,CB,Boston College Eagles,70.32,Round 6-7,339.0,0.0,1,74.35,60.0,63.2,70.0,90.0,79.5,1.26,4.03,0.0,0.0,0.0,JAX,high_variance
337,DaShawn Jones,CB,Alabama Crimson Tide,70.31,Round 6-7,323.0,0.0,1,74.34,60.0,63.0,70.0,90.0,79.5,1.26,4.03,0.0,0.0,0.0,JAX,high_variance
338,Devonta Smith,CB,Notre Dame Fighting Irish,70.26,Round 6-7,219.0,9.0,2,77.15,60.0,65.9,70.0,90.0,79.5,1.26,3.87,0.0,0.0,0.0,JAX,medium_variance
339,Jeremiah Franklin,TE,Boston College Eagles,70.25,Round 6-7,301.0,0.0,1,74.28,60.0,63.0,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,IND,high_variance
340,Taylen Green,QB,Arkansas Razorbacks,70.23,Round 6-7,208.0,19.0,2,76.62,58.0,74.94,68.0,90.0,79.0,2.85,3.66,0.0,0.0,0.0,LV,high_variance
341,Jaren Kump,IOL,Utah Utes,70.21,Round 6-7,311.0,0.0,1,74.24,60.0,63.6,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,DET,high_variance
342,Gunner Maldonado,S,Kansas State Wildcats,70.21,Round 6-7,332.0,0.0,1,74.24,60.0,63.0,70.0,90.0,79.5,1.26,4.03,0.0,0.0,0.0,MIA,high_variance
343,Daniel King,IOL,North Carolina Tar Heels,70.16,Round 6-7,348.0,0.0,1,74.19,60.0,63.6,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,DET,high_variance
344,Devin Mockobee,RB,Purdue Boilermakers,70.15,Round 6-7,342.0,0.0,1,74.18,60.0,66.11,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,DAL,high_variance
345,Caleb Douglas,WR,Texas Tech Red Raiders,70.04,Round 6-7,239.0,41.0,2,76.75,60.0,63.63,70.0,90.0,79.5,1.01,3.17,0.0,0.0,0.0,CLE,high_variance
346,James Thompson Jr.,DT,Illinois Fighting Illini,70.01,Round 6-7,238.0,20.0,2,77.4,60.0,68.55,70.0,90.0,79.5,1.01,3.87,0.0,0.0,0.0,BUF,high_variance
347,Logan Diggs,RB,Mississippi Rebels,70.01,Round 6-7,309.0,0.0,1,74.04,60.0,65.19,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,DAL,high_variance
348,Riley Nowakowski,TE,Indiana Hoosiers,69.89,Round 6-7,226.0,21.0,2,76.96,60.0,68.7,70.0,90.0,79.5,1.01,3.87,0.0,0.0,0.0,IND,high_variance
349,Ephesians Prysock,CB,Washington Huskies,69.82,Round 6-7,172.0,28.28,3,75.22,50.19,68.07,70.0,90.0,79.5,1.26,3.6,0.0,0.0,-0.0241,JAX,high_variance
350,Zavion Thomas,WR,LSU Tigers,69.79,Round 6-7,225.0,51.0,2,77.1,60.0,63.0,70.0,90.0,79.5,1.01,3.17,0.97,0.0,0.0,CLE,high_variance
351,Maverick McIvor,QB,Western Kentucky Hilltoppers,69.69,Round 6-7,341.0,0.0,1,73.18,58.0,68.44,68.0,90.0,79.0,2.85,3.49,0.0,0.0,0.0,LV,high_variance
352,J'Mari Taylor,RB,Virginia Cavaliers,69.64,Round 6-7,183.0,38.0,2,74.38,50.19,67.51,70.0,90.0,79.5,1.01,2.65,0.0,0.0,-0.0241,DAL,high_variance
353,Cyrus Allen,WR,Cincinnati Bearcats,69.62,Round 6-7,234.0,70.0,2,77.77,60.0,66.17,70.0,90.0,79.5,1.01,3.17,1.57,0.0,0.0,CLE,high_variance
354,Luke Altmyer,QB,Illinois Fighting Illini,69.6,Round 6-7,218.5,1.5,2,76.51,58.0,74.24,68.0,90.0,79.0,2.85,3.91,0.0,0.0,0.0,LV,high_variance
