pff_rank,pff_player,pff_position,pff_school,match_type,board_player,board_position,board_school,board_rank_seed,board_final_rank,board_grade,pff_grade
210,Desmond Reid,HB,Pittsburgh,exact,Desmond Reid,RB,Pittsburgh Panthers,177,,75.1,80.1
212,TJ Hall,CB,Iowa,name_pos,TJ Hall,CB,Iowa Hawkeyes,224,,69.44,78.3
213,Zxavian Harris,DI,Mississippi,name_only,Zxavian Harris,DT,Mississippi Rebels,182,,77.64,73.3
214,Robert Spears-Jennings,S,Oklahoma,name_pos,Robert Spears-Jennings,S,Oklahoma Sooners,183,,74.38,58.9
215,Jadon Canady,CB,Oregon,exact,Jadon Canady,CB,Oregon Ducks,184,,75.57,85.5
218,Parker Brailsford,C,Alabama,exact,Parker Brailsford,IOL,Alabama,128,,77.47,65.6
219,Domani Jackson,CB,Alabama,exact,Domani Jackson,CB,Alabama,212,,73.51,73.4
220,Robert Henry Jr.,HB,UTSA,name_pos,Robert Henry Jr.,RB,UTSA Roadrunners,193,,74.02,74.2
221,Colbie Young,WR,Georgia,exact,Colbie Young,WR,Georgia Bulldogs,300,,65.77,76.3
223,Roman Hemby,HB,Indiana,exact,Roman Hemby,RB,Indiana,73,,78.4,80.9
226,J. Michael Sturdivant,WR,Florida,exact,J. Michael Sturdivant,WR,Florida Gators,199,,76.17,62.7
229,Jalon Daniels,QB,Kansas,name_pos,Jalon Daniels,QB,Kansas Jayhawks,175,,74.01,77.1
231,Vincent Anthony Jr.,ED,Duke,name_only,Vincent Anthony Jr.,EDGE,Duke Blue Devils,202,,72.88,58.2
232,Lake McRee,TE,USC,exact,Lake McRee,TE,USC Trojans,203,,71.63,69.0
233,Taylen Green,QB,Arkansas,exact,Taylen Green,QB,Arkansas Razorbacks,221,,75.04,82.5
234,Cole Payton,QB,North Dakota State,exact,Cole Payton,QB,North Dakota State,35,,78.04,95.9
236,Eric Gentry,LB,USC,exact,Eric Gentry,LB,USC Trojans,262,,72.66,72.0
237,Rahsul Faison,HB,South Carolina,exact,Rahsul Faison,RB,South Carolina Gamecocks,208,,68.59,68.8
238,Lorenzo Styles Jr.,S,Ohio State,name_only,Lorenzo Styles Jr.,CB,Ohio State,225,,82.01,66.0
239,Josh Cameron,WR,Baylor,exact,Josh Cameron,WR,Baylor Bears,209,,72.73,72.4
242,Fa'alili Fa'amoe,T,Wake Forest,name_pos,Fa'alili Fa'amoe,OT,Wake Forest Demon Deacons,213,,72.07,67.7
243,Luke Altmyer,QB,Illinois,name_pos,Luke Altmyer,QB,Illinois Fighting Illini,214,,70.74,78.0
244,Vinny Anthony II,WR,Wisconsin,exact,Vinny Anthony II,WR,Wisconsin Badgers,215,,69.17,67.7
