source,snapshot_date,source_rank,player_name,school,position,source_url,report_text,cbs_rank,cbs_summary
CBS_BigBoard_2026,2026-02-26,11,Keldric Faulk,Auburn,EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"I listed Faulk at edge because that's where he plays now, but athletes his size are more and more often moving inside in the NFL . He's long and twitchy with some special run-game reps already.",11,"I listed Faulk at edge because that's where he plays now, but athletes his size are more and more often moving inside in the NFL . He's long and twitchy with some special run-game reps already."
CBS_BigBoard_2026,2026-02-26,12,Ty Simpson,Alabama,QB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"After a rocky first start against Florida State , Simpson has passed every test since. No moment has seemed too big for him as he looks like a veteran despite being in his first year as a starter. He has solid all-around tools and always looks in command.",12,"After a rocky first start against Florida State , Simpson has passed every test since. No moment has seemed too big for him as he looks like a veteran despite being in his first year as a starter. He has solid all-around tools and always looks in command."
CBS_BigBoard_2026,2026-02-26,13,Dante Moore,Oregon,QB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Moore has shown his inexperience a bit lately, but there's still a lot to like on his tape. The question is whether he declares with two more years of eligibility after this season.",13,"Moore has shown his inexperience a bit lately, but there's still a lot to like on his tape. The question is whether he declares with two more years of eligibility after this season."
CBS_BigBoard_2026,2026-02-26,14,Jeremiyah Love,Notre Dame,RB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Love is a big play waiting to happen. His quick feet, elite acceleration and breakaway speed are exactly what NFL teams want. He's racked up 28 touchdowns on 303 carries the past two seasons.",14,"Love is a big play waiting to happen. His quick feet, elite acceleration and breakaway speed are exactly what NFL teams want. He's racked up 28 touchdowns on 303 carries the past two seasons."
CBS_BigBoard_2026,2026-02-26,15,T.J. Parker,Clemson,EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Parker is a solid, if unspectacular, edge defender who has been relatively quiet compared with expectations. He was a true freshman starter in 2023 with 35 pressures, but is on pace for fewer this year with only 21 so far.",15,"Parker is a solid, if unspectacular, edge defender who has been relatively quiet compared with expectations. He was a true freshman starter in 2023 with 35 pressures, but is on pace for fewer this year with only 21 so far."
CBS_BigBoard_2026,2026-02-26,16,Olaivavega Ioane,Penn State,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Ioane has been the lone bright spot on a reeling Penn State team. He has allowed only one pressure all season and is the top true guard in the class.,16,Ioane has been the lone bright spot on a reeling Penn State team. He has allowed only one pressure all season and is the top true guard in the class.
CBS_BigBoard_2026,2026-02-26,17,Makai Lemon,USC,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Lemon is a ready-made slot receiver averaging nearly 100 yards per game. He doesn't drop passes and consistently finds space over the middle.,17,Lemon is a ready-made slot receiver averaging nearly 100 yards per game. He doesn't drop passes and consistently finds space over the middle.
CBS_BigBoard_2026,2026-02-26,18,Caleb Lomu,Utah,OT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Lomu is no sure thing to declare as a third-year player who still needs to improve his strength. If he does, a team is getting a gifted mover who uses his hands in pass protection as well as anyone in the class.",18,"Lomu is no sure thing to declare as a third-year player who still needs to improve his strength. If he does, a team is getting a gifted mover who uses his hands in pass protection as well as anyone in the class."
CBS_BigBoard_2026,2026-02-26,19,Avieon Terrell,Clemson,CB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Terrell may not look imposing at 180 pounds, but he plays extremely physical football. He has forced six fumbles over the past two seasons and has 14 pass breakups.",19,"Terrell may not look imposing at 180 pounds, but he plays extremely physical football. He has forced six fumbles over the past two seasons and has 14 pass breakups."
CBS_BigBoard_2026,2026-02-26,20,Chris Brazzell II,Tennessee,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Brazzell is a unique deep threat at 6-foot-5 and 200 pounds. He has real vertical speed and the ability to ""Moss"" cornerbacks at the catch point. He may be a bit of a one-trick pony, but it's a valuable trick.",20,"Brazzell is a unique deep threat at 6-foot-5 and 200 pounds. He has real vertical speed and the ability to ""Moss"" cornerbacks at the catch point. He may be a bit of a one-trick pony, but it's a valuable trick."
CBS_BigBoard_2026,2026-02-26,21,Kadyn Proctor,Alabama,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Proctor has shown some limitations in pass protection this year and is most likely going to kick inside at the next level outside of a few schemes. You're still getting the single best lineman at moving people against their will in the run game.,21,Proctor has shown some limitations in pass protection this year and is most likely going to kick inside at the next level outside of a few schemes. You're still getting the single best lineman at moving people against their will in the run game.
