team,position,depth_delta,future_need_1y_delta,future_need_2y_delta,starter_quality_delta,roster_count_delta,transaction_count,event_summary,window_days,source_url
MIA,S,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Zayne Anderson (Signed/unrest FA),7,https://www.cbssports.com/nfl/transactions/
MIA,TE,-0.18,-0.132,-0.072,0.144,1.2,3,2026-03-11 confirmed Ben Sims (Signed/unrest FA One-year contract (through 2026)) | 2026-03-11 confirmed Greg Dulcich (Re-signed One-year extension (through 2026)) | 2026-03-12 confirmed Lonnie Johnson (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
MIA,WR,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-11 confirmed A.J. Green (Re-signed/unrest FA One-year contract (through 2026)) | 2026-03-13 confirmed Tutu Atwell (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
MIN,CB,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-11 confirmed Harrison Smith (Cut) | 2026-03-12 confirmed James Pierre (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
MIN,DT,-0.03,-0.008,-0.008,0.026,0.2,3,2026-03-09 confirmed Jalen Redmond (Re-signed/excl. FA One-year contract (through 2026)) | 2026-03-11 confirmed Javon Hargrave (Cut) | 2026-03-11 confirmed Eric Wilson (Re-signed Three-year extension (through 2028)),7,https://www.cbssports.com/nfl/transactions/
MIN,EDGE,0.09,0.08,0.04,-0.07,-0.6,1,2026-03-11 confirmed Jonathan Allen (Cut),7,https://www.cbssports.com/nfl/transactions/
MIN,LB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-09 confirmed Bo Richter (Re-signed/excl. FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
MIN,QB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Kyler Murray (Signed One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
MIN,RB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-09 confirmed Zavier Scott (Re-signed/excl. FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
MIN,S,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Tavierre Thomas (Re-signed Two-year extension (through 2027)),7,https://www.cbssports.com/nfl/transactions/
NE,EDGE,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Dre'Mont Jones (Signed/unrest FA Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
NE,LB,0.18,0.16,0.08,-0.14,-1.2,2,2026-03-11 confirmed Jahlani Tavai (Cut) | 2026-03-11 confirmed Anfernee Jennings (Cut),7,https://www.cbssports.com/nfl/transactions/
NE,QB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-06 confirmed Tommy DeVito (Re-signed Two-year extension (through 2027)),7,https://www.cbssports.com/nfl/transactions/
NE,RB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Reggie Gilliam (Signed/unrest FA Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
NE,S,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-12 confirmed Mike Brown (Signed/unrest FA One-year contract (through 2026)) | 2026-03-13 confirmed Kevin Byard (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NE,TE,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-09 confirmed Jack Westover (Re-signed/excl. FA One-year contract (through 2026)) | 2026-03-12 confirmed Julian Hill (Signed/unrest FA Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
NE,WR,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-11 confirmed Stefon Diggs (Cut) | 2026-03-12 confirmed Romeo Doubs (Signed/unrest FA Four-year contract (through 2029)),7,https://www.cbssports.com/nfl/transactions/
NO,DT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-11 confirmed John Ridgeway (Re-signed Two-year extension (through 2027)),7,https://www.cbssports.com/nfl/transactions/
NO,LB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Kaden Elliss (Signed/unrest FA Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
NO,OT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Dillon Radunz (Re-signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
NO,RB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Travis Etienne (Signed/unrest FA Four-year contract (through 2029)),7,https://www.cbssports.com/nfl/transactions/
NO,TE,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Noah Fant (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
NYG,CB,-0.18,-0.132,-0.072,0.144,1.2,3,2026-03-13 confirmed Art Green (Re-signed/excl. FA One-year contract (through 2026)) | 2026-03-13 confirmed Elijah Campbell (Signed/unrest FA One-year contract (through 2026)) | 2026-03-13 confirmed Greg Newsome II (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NYG,LB,-0.15,-0.096,-0.056,0.122,1.0,5,2026-03-10 confirmed Caleb Murphy (Re-signed/excl. FA One-year contract (through 2026)) | 2026-03-11 confirmed Chris Board (Cut) | 2026-03-11 confirmed Micah McFadden (Re-signed One-year extension (through 2026)) | 2026-03-11 confirmed Zaire Barnes (Re-signed One-year extension (through 2026)) | 2026-03-13 confirmed Tremaine Edmunds (Signed Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
NYG,OT,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-06 confirmed James Hudson (Cut) | 2026-03-11 confirmed Evan Neal (Re-signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NYG,RB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Patrick Ricard (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
NYG,S,-0.03,-0.008,-0.008,0.026,0.2,3,2026-03-10 confirmed Anthony Johnson Jr. (Cut) | 2026-03-13 confirmed Jason Pinnock (Signed/unrest FA One-year contract (through 2026)) | 2026-03-13 confirmed Ar'Darius Washington (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NYG,TE,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-09 confirmed Chris Manhertz (Re-signed One-year extension (through 2026)) | 2026-03-13 confirmed Isaiah Likely (Signed/unrest FA Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
NYG,WR,-0.18,-0.132,-0.072,0.144,1.2,3,2026-03-06 confirmed Gunner Olszewski (Re-signed One-year extension (through 2026)) | 2026-03-11 confirmed Isaiah Hodgins (Re-signed One-year extension (through 2026)) | 2026-03-12 confirmed Calvin Austin III (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NYJ,CB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Nahshon Wright (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NYJ,DT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed David Onyemata (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NYJ,EDGE,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-12 confirmed Joseph Ossai (Signed/unrest FA Three-year contract (through 2028)) | 2026-03-12 confirmed Kingsley Enagbare (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NYJ,LB,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-12 confirmed Demario Davis (Signed/unrest FA Two-year contract (through 2027)) | 2026-03-13 confirmed Mykal Walker (Re-signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NYJ,OT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Max Mitchell (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NYJ,RB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-11 confirmed Andrew Beck (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
NYJ,S,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Dane Belton (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
PHI,CB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Jonathan Jones (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
PHI,DT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-11 confirmed Jordan Davis (Re-signed Three-year extension (through 2029)),7,https://www.cbssports.com/nfl/transactions/
PHI,LB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Arnold Ebiketie (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
PHI,TE,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-13 confirmed Johnny Mundt (Signed One-year contract (through 2026)) | 2026-03-13 confirmed Grant Calcaterra (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
PIT,CB,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-12 confirmed Asante Samuel Jr. (Re-signed One-year extension (through 2026)) | 2026-03-13 confirmed Jamel Dean (Signed/unrest FA Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
PIT,DT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-11 confirmed Cameron Heyward (Re-signed One-year extension (through 2027)),7,https://www.cbssports.com/nfl/transactions/
PIT,EDGE,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Esezi Otomewo (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
PIT,LB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-11 confirmed Cole Holcomb (Re-signed Two-year extension (through 2027)),7,https://www.cbssports.com/nfl/transactions/
PIT,OT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-11 confirmed Jack Driscoll (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
PIT,RB,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-13 confirmed Rico Dowdle (Signed/unrest FA Two-year contract (through 2027)) | 2026-03-13 confirmed Michael Pittman (Signed Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
PIT,S,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-11 confirmed Darnell Savage (Signed/unrest FA One-year contract (through 2026)) | 2026-03-12 confirmed Jaquan Brisker (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
SEA,CB,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-11 confirmed Josh Jobe (Re-signed Three-year extension (through 2028)) | 2026-03-13 confirmed Tyler Hall (Cut),7,https://www.cbssports.com/nfl/transactions/
SEA,DT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Brandon Pili (Re-signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
SEA,LB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-11 confirmed Drake Thomas (Re-signed Two-year extension (through 2027)),7,https://www.cbssports.com/nfl/transactions/
SEA,OT,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-11 confirmed Josh Jones (Re-signed One-year extension (through 2026)) | 2026-03-13 confirmed Josh Jones (Re-signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
SEA,RB,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-12 confirmed Brady Russell (Re-signed/unrest FA Two-year contract (through 2027)) | 2026-03-13 confirmed Emanuel Wilson (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
SEA,S,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-11 confirmed AJ Finley (Re-signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
SEA,WR,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-11 confirmed Rashid Shaheed (Re-signed Three-year extension (through 2028)),7,https://www.cbssports.com/nfl/transactions/
SF,CB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Nate Hobbs (Signed One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
SF,DT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Mike Evans (Signed/unrest FA Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
SF,EDGE,0.09,0.08,0.04,-0.07,-0.6,1,2026-03-12 confirmed Bryce Huff (Retired),7,https://www.cbssports.com/nfl/transactions/
SF,LB,-0.18,-0.132,-0.072,0.144,1.2,3,2026-03-11 confirmed Garret Wallow (Re-signed One-year extension (through 2026)) | 2026-03-13 confirmed Dre Greenlaw (Signed One-year contract (through 2026)) | 2026-03-13 confirmed Luke Gifford (Re-signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
SF,OT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Vederian Lowe (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
SF,TE,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Jake Tonges (Re-signed/rest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
TB,EDGE,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-12 confirmed Al-Quadin Muhammad (Signed/unrest FA One-year contract (through 2026)) | 2026-03-13 confirmed A'Shawn Robinson (Signed One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
TB,LB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Alex Anzalone (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
TB,QB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Jake Browning (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
TB,RB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Kenneth Gainwell (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
TB,S,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Miles Killebrew (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
TB,TE,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-12 confirmed Cade Otton (Re-signed Three-year extension (through 2028)) | 2026-03-13 confirmed Ko Kieft (Re-signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
TEN,CB,-0.09,-0.052,-0.032,0.074,0.6,4,2026-03-12 confirmed Cordale Flott (Signed/unrest FA Three-year contract (through 2028)) | 2026-03-12 confirmed Alontae Taylor (Signed/unrest FA Three-year contract (through 2028)) | 2026-03-12 confirmed Joshua Williams (Signed/unrest FA Two-year contract (through 2027)) | 2026-03-13 confirmed L'Jarius Sneed (Cut),7,https://www.cbssports.com/nfl/transactions/
TEN,DT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Jordan Elliott (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
TEN,EDGE,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-12 confirmed John Franklin-Myers (Signed/unrest FA Three-year contract (through 2028)) | 2026-03-13 confirmed Malik Herring (Signed One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
TEN,QB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Tony Adams (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
TEN,S,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Jerrick Reed II (Re-signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
TEN,TE,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Daniel Bellinger (Signed/unrest FA),7,https://www.cbssports.com/nfl/transactions/
TEN,WR,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-11 confirmed Bryce Oliver (Re-signed/excl. FA One-year contract (through 2026)) | 2026-03-12 confirmed Wan'Dale Robinson (Signed/unrest FA Four-year contract (through 2029)),7,https://www.cbssports.com/nfl/transactions/
WAS,CB,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-06 confirmed Marshon Lattimore (Cut) | 2026-03-12 confirmed Amik Robertson (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
WAS,DT,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-09 confirmed Shy Tuttle (Re-signed One-year extension (through 2026)) | 2026-03-12 confirmed Tim Settle (Signed/unrest FA Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
WAS,EDGE,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Charles Omenihu (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
WAS,LB,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-13 confirmed Leo Chenal (Signed/unrest FA Three-year contract (through 2028)) | 2026-03-13 confirmed K'Lavon Chaisson (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
WAS,OT,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-13 confirmed Trent Scott (Re-signed/unrest FA One-year contract (through 2026)) | 2026-03-13 confirmed Laremy Tunsil (Re-signed Two-year extension (through 2028)),7,https://www.cbssports.com/nfl/transactions/
WAS,QB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-10 confirmed Marcus Mariota (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
WAS,RB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Rachaad White (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
WAS,S,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Nick Cross (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
WAS,WR,-0.18,-0.132,-0.072,0.144,1.2,3,2026-03-12 confirmed Treylon Burks (Re-signed One-year extension (through 2026)) | 2026-03-13 confirmed Van Jefferson (Signed/unrest FA One-year contract (through 2026)) | 2026-03-13 confirmed Dyami Brown (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
